created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2024-10-01T11:04:02Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,About This Book BSE,Open the book,2024-10-01T10:30:58Z,2024-10-01T11:04:02Z,KFX
2024-02-24T02:54:23Z,www.amazon.com,Not Available,Kindle for iOS,B0CL7GMPD4,About This Book BSE,Open the book,2024-02-24T02:54:17Z,2024-02-24T02:54:23Z,KFX
2025-03-06T09:38:56Z,www.amazon.com,Not Available,Kindle for iOS,B0CHVBB7Y5,About This Book BSE,Open the book,2025-03-06T09:38:54Z,2025-03-06T09:38:56Z,KFX
2024-10-30T23:57:52Z,www.amazon.com,Not Available,Kindle for iOS,B0C35K5GRL,Before You Go BSE,Reach end of book,2024-10-30T23:57:44Z,2024-10-30T23:57:52Z,KFX
2024-07-10T21:23:08Z,www.amazon.com,Not Available,Kindle for iOS,B09D8Q2D9L,Before You Go BSE,Reach end of book,2024-07-10T21:23:06Z,2024-07-10T21:23:08Z,KFX
2024-11-26T18:34:08Z,www.amazon.com,Not Available,Kindle for iOS,B0CV2Y8CQC,About This Book BSE,Open the book,2024-11-26T18:33:55Z,2024-11-26T18:34:08Z,KFX
2024-08-02T22:55:47Z,www.amazon.com,Not Available,Kindle for iOS,B0B7B2G4TD,Before You Go BSE,Reach end of book,2024-08-02T22:54:10Z,2024-08-02T22:55:47Z,KFX
2024-03-09T06:01:09Z,www.amazon.com,Not Available,Kindle for iOS,B071NRXLXB,Before You Go BSE,Reach end of book,2024-03-09T06:01:06Z,2024-03-09T06:01:09Z,KFX
2025-09-03T06:14:54Z,www.amazon.com,Not Available,Kindle for iOS,B0C6NBLBL2,Before You Go BSE,Reach end of book,2025-09-03T06:14:16Z,2025-09-03T06:14:54Z,KFX
2024-04-29T22:01:08Z,www.amazon.com,Not Available,Kindle for iOS,B00B73MULG,Before You Go BSE,Reach end of book,2024-04-29T22:00:49Z,2024-04-29T22:01:08Z,KFX
2025-02-17T17:20:15Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2025-02-17T17:20:12Z,2025-02-17T17:20:15Z,KFX
2025-05-23T08:26:12Z,www.amazon.com,Not Available,Kindle for iOS,B0D3Z2M35D,Before You Go BSE,Reach end of book,2025-05-23T08:25:51Z,2025-05-23T08:26:12Z,KFX
2025-09-08T04:07:41Z,www.amazon.com,Not Available,Kindle for iOS,B0C6NNZSVQ,About This Book BSE,Open the book,2025-09-08T04:07:37Z,2025-09-08T04:07:41Z,KFX
2025-04-03T21:37:30Z,www.amazon.com,Not Available,Kindle for iOS,B08FZNYQJC,Before You Go BSE,Reach end of book,2025-04-03T21:37:11Z,2025-04-03T21:37:30Z,KFX
2024-04-21T21:06:32Z,www.amazon.com,Not Available,Kindle for iOS,B0BXQP63XL,About This Book BSE,Click on About This Book,2024-04-21T21:05:38Z,2024-04-21T21:06:32Z,KFX
2024-09-04T03:36:31Z,www.amazon.com,Not Available,Kindle for iOS,B0BFW44657,Before You Go BSE,Reach end of book,2024-09-04T03:35:57Z,2024-09-04T03:36:31Z,KFX
2024-12-14T04:28:50Z,www.amazon.com,Not Available,Kindle for iOS,B0C44CFZPD,Before You Go BSE,Reach end of book,2024-12-14T04:26:35Z,2024-12-14T04:28:50Z,KFX
2025-02-05T16:19:34Z,www.amazon.com,Not Available,Kindle for iOS,B0BY9M2C4X,Before You Go BSE,Reach end of book,2025-02-05T16:19:32Z,2025-02-05T16:19:34Z,KFX
2024-12-20T21:09:48Z,www.amazon.com,Not Available,Kindle for iOS,B0DJM93XSS,Before You Go BSE,Reach end of book,2024-12-20T21:09:37Z,2024-12-20T21:09:48Z,KFX
2025-01-13T09:37:03Z,www.amazon.com,Not Available,Kindle for iOS,B0B2L6CBXQ,About This Book BSE,Open the book,2025-01-13T09:35:46Z,2025-01-13T09:37:03Z,KFX
2024-11-27T10:14:49Z,www.amazon.com,Not Available,Kindle for iOS,B0CR19MXKV,About This Book BSE,Open the book,2024-11-27T10:14:34Z,2024-11-27T10:14:49Z,KFX
2025-09-14T18:10:25Z,www.amazon.com,Not Available,Kindle for iOS,B0DWSZPM62,Before You Go BSE,Reach end of book,2025-09-14T18:10:17Z,2025-09-14T18:10:25Z,KFX
2024-10-01T10:30:23Z,www.amazon.com,Not Available,Kindle for iOS,B0BG8HC2NG,Before You Go BSE,Reach end of book,2024-10-01T10:30:11Z,2024-10-01T10:30:23Z,KFX
2025-09-30T21:43:42Z,www.amazon.com,Not Available,Kindle for iOS,B0BSG1XDTR,Before You Go BSE,Reach end of book,2025-09-30T21:43:27Z,2025-09-30T21:43:42Z,KFX
