created_timestamp,preferred_marketplace,country,device_family,content_id,connection _type,connection_state,connection_setting_changed
2024-04-15T20:18:57Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-10T08:33:24Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-07T20:15:00Z,US,US,Kindle E-reader,B00N6PD7L0,wireless,wifi,by user
2024-03-30T18:57:25Z,US,US,Kindle E-reader,B09DTJF1WD,wireless,wifi,by user
2024-04-07T20:02:56Z,US,US,Kindle E-reader,B00N6PD7L0,wireless,wifi,by user
2024-04-08T10:55:23Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-31T00:34:26Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-30T02:05:44Z,US,US,Kindle E-reader,B07ZFZZ2GQ,wireless,wifi,by user
2024-04-02T11:01:59Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-29T02:59:14Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-02T01:27:23Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-06T00:51:38Z,US,US,Kindle E-reader,B008WOTQGU,wireless,wifi,by user
2024-04-15T00:48:37Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-30T02:56:33Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-08T10:54:10Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-03-31T14:43:59Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-04-14T08:32:24Z,US,US,Kindle E-reader,B0778CV9Y4,wireless,wifi,by user
2024-04-08T22:46:36Z,US,US,Kindle E-reader,B00O6V45CS,wireless,wifi,by user
2024-04-07T07:14:30Z,US,US,Kindle E-reader,B00O6V45E6,wireless,wifi,by user
2024-04-08T22:37:59Z,US,US,Kindle E-reader,B00O6V45CS,wireless,wifi,by user
2024-04-08T02:50:41Z,US,US,Kindle E-reader,Not Available,wireless,none,by user
2024-03-30T01:42:09Z,US,US,Kindle E-reader,B07ZFZZ2GQ,wireless,wifi,by user
2024-03-30T05:39:16Z,US,US,Kindle E-reader,B07ZFZZ2GQ,wireless,wifi,by user
2024-04-05T01:26:53Z,US,US,Kindle E-reader,B008WOTQGU,wireless,wifi,by user
2024-04-07T01:30:26Z,US,US,Kindle E-reader,B00O6V45E6,wireless,wifi,by user
2024-04-06T02:17:59Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-07T19:15:15Z,US,US,Kindle E-reader,B00N6PD7L0,wireless,wifi,by user
2024-04-15T00:54:21Z,US,US,Kindle E-reader,Not Available,wireless,wifi,by user
2024-04-02T09:48:13Z,US,US,Kindle E-reader,B0BHLBHG79,wireless,wifi,by user
