ASIN,"Content Update Receipt Date","Content Update Start Date","Creation Date","Current Book Format","Device Family","Device Serial Number",Marketplace,"New Book Format",Reason,"Software Version",Status,"Update Date","Update Target"
B01N7GREG9,"NOT AVAILABLE","NOT AVAILABLE",2024-03-05T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B07C7N5CBS,"NOT AVAILABLE","NOT AVAILABLE",2024-03-06T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B01KB8XC5A,"NOT AVAILABLE","NOT AVAILABLE",2024-03-07T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B083TZV25B,"NOT AVAILABLE","NOT AVAILABLE",2024-03-08T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B083TZV25B,"NOT AVAILABLE","NOT AVAILABLE",2024-03-08T00:00:00.00Z,"Enhanced TypeSetting",MAC,"DFE17369AE255C3FBCC54ABD864547FA","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B079JF4D4S,"NOT AVAILABLE","NOT AVAILABLE",2024-03-08T00:00:00.00Z,"Enhanced TypeSetting",MAC,"DFE17369AE255C3FBCC54ABD864547FA","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0BCHJ9885,"NOT AVAILABLE","NOT AVAILABLE",2024-03-08T00:00:00.00Z,"Enhanced TypeSetting",MAC,"DFE17369AE255C3FBCC54ABD864547FA","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B07B9WH8KT,"NOT AVAILABLE","NOT AVAILABLE",2024-03-08T00:00:00.00Z,"Enhanced TypeSetting",MAC,"DFE17369AE255C3FBCC54ABD864547FA","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B099QTBDB4,"NOT AVAILABLE","NOT AVAILABLE",2024-03-08T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B09PNM8FFN,"NOT AVAILABLE","NOT AVAILABLE",2024-03-08T00:00:00.00Z,"Enhanced TypeSetting",MAC,"DFE17369AE255C3FBCC54ABD864547FA","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B01D6TA9Y8,"NOT AVAILABLE","NOT AVAILABLE",2024-03-08T00:00:00.00Z,"Enhanced TypeSetting",MAC,"DFE17369AE255C3FBCC54ABD864547FA","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B079JF4D4S,"NOT AVAILABLE","NOT AVAILABLE",2024-03-08T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B01D6TA9Y8,"NOT AVAILABLE","NOT AVAILABLE",2024-03-09T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B07WJ2X243,"NOT AVAILABLE","NOT AVAILABLE",2024-03-10T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
