asin,end_time,reading_marketplace,start_time,total_reading_milliseconds
B09X6KD3CS,2024-02-26T21:51:25.600Z,US,2024-02-26T21:51:12.700Z,12900
B09X6KD3CS,2024-02-27T05:28:41.224Z,US,2024-02-27T05:28:41.224Z,0
B09X6KD3CS,2024-02-26T23:55:18.369Z,US,2024-02-26T23:55:18.369Z,0
B09X6KD3CS,2024-02-27T06:27:24.600Z,US,2024-02-27T06:27:21.900Z,2700
B09X6KD3CS,2024-02-26T23:25:43.100Z,US,2024-02-26T23:04:09.600Z,1293500
B09X6KD3CS,2024-02-27T12:14:00.100Z,US,2024-02-27T12:13:52.300Z,7800
B0BDW9C3JY,2024-02-27T13:21:38Z,US,2024-02-27T12:55:10.400Z,1587600
B09X6KD3CS,2024-02-27T04:18:24.300Z,US,2024-02-27T03:54:56.200Z,1408100
B09X6KD3CS,2024-02-26T16:55:54.400Z,US,2024-02-26T16:55:41.700Z,12700
B09X6KD3CS,2024-02-26T15:03:01.200Z,US,2024-02-26T15:02:58.100Z,3100
B09X6KD3CS,2024-02-26T21:19:18.500Z,US,2024-02-26T21:19:14.600Z,3900
B09X6KD3CS,2024-02-26T23:31:57.600Z,US,2024-02-26T23:31:50.900Z,6700
B09X6KD3CS,2024-02-26T22:00:45.816Z,US,2024-02-26T22:00:45.816Z,0
B09X6KD3CS,2024-02-26T21:52:40.400Z,US,2024-02-26T21:52:04.800Z,35600
B09X6KD3CS,2024-02-26T21:11:30.200Z,US,2024-02-26T20:52:05.600Z,1164600
B09X6KD3CS,2024-02-26T17:04:34.900Z,US,2024-02-26T17:01:10.500Z,204400
B0BDW83LGQ,2024-02-28T03:31:23.200Z,US,2024-02-28T03:28:56.600Z,146600
B0BDW83LGQ,2024-02-28T12:05:55.700Z,US,2024-02-28T12:02:46.600Z,189100
B0BDW83LGQ,2024-02-28T13:57:15.400Z,US,2024-02-28T13:57:12.700Z,2700
B0BDW9C3JY,2024-02-27T17:59:12Z,US,2024-02-27T17:06:44.500Z,3147500
B0BDW9C3JY,2024-02-27T20:23:03.200Z,US,2024-02-27T20:22:47.500Z,15700
B0BDW83LGQ,2024-02-28T13:57:23.900Z,US,2024-02-28T13:57:22.100Z,1800
