created_timestamp,preferred_marketplace,device_family,card_name,card_position
2024-03-11T07:03:44Z,US,Kindle for iOS,Recommended for you in Kindle Unlimited,4
2024-04-14T16:02:02Z,US,Kindle for iOS,Based on your reading,4
2024-03-28T21:24:24Z,US,Kindle for iOS,,5
2024-03-25T08:31:16Z,US,Kindle for iOS,,5
2024-03-19T23:05:47Z,US,Kindle for iOS,,2
2024-03-31T12:56:11Z,US,Kindle for iOS,Reading Insights,4
2024-03-22T02:39:16Z,US,Kindle for iOS,Reading Insights,4
2024-03-04T10:09:46Z,US,Kindle for iOS,Reading Insights,4
2024-02-24T14:32:05Z,US,Kindle for iOS,,15
2024-03-11T07:03:56Z,US,Kindle for iOS,,10
2024-03-31T00:37:09Z,US,Kindle for iOS,Reading Insights,4
2024-04-08T02:04:58Z,US,Kindle for iOS,,4
2024-04-15T23:47:29Z,US,Kindle for iOS,Reading Insights,4
2024-03-05T15:02:56Z,US,Kindle for iOS,More like [book title],7
2024-02-24T18:50:20Z,US,Kindle for iOS,Recommended for you in Kindle Unlimited,7
2024-03-21T14:45:28Z,US,Kindle for iOS,,2
2024-03-11T06:00:26Z,US,Kindle for iOS,Reading Insights,4
2024-04-14T03:58:37Z,US,Kindle for iOS,Reading Insights,5
2024-03-17T01:40:51Z,US,Kindle for iOS,Reading Insights,5
2024-04-06T01:57:17Z,US,Kindle for iOS,,4
2024-04-01T19:09:13Z,US,Kindle for iOS,,4
2024-03-14T20:51:04Z,US,Kindle for iOS,More like [book title],6
2024-03-05T01:38:17Z,US,Kindle for iOS,Reading Insights,4
2024-02-27T22:57:21Z,US,Kindle for iOS,,4
2024-03-11T07:03:51Z,US,Kindle for iOS,,8
2024-04-09T18:41:07Z,US,Kindle for iOS,Reading Insights,4
2024-03-05T02:36:26Z,US,Kindle for iOS,Reading Insights,4
2024-04-04T18:23:38Z,US,Kindle for iOS,,6
2024-03-02T14:40:57Z,US,Kindle for iOS,,2
2024-03-18T21:41:31Z,US,Kindle for iOS,More like your recent books,4
2024-03-19T04:03:30Z,US,Kindle for iOS,,2
2024-03-29T02:40:57Z,US,Kindle for iOS,,2
2024-04-04T23:30:07Z,US,Kindle for iOS,,2
2024-04-12T17:20:03Z,US,Kindle for iOS,,2
2024-04-13T03:25:30Z,US,Kindle for iOS,Reading Insights,4
2024-03-16T03:02:02Z,US,Kindle for iOS,,2
2024-03-10T01:26:57Z,US,Kindle for iOS,Reading Insights,4
2024-02-24T18:54:54Z,US,Kindle for iOS,Books trending this month,8
2024-03-20T04:03:41Z,US,Kindle for iOS,,2
2024-03-29T21:53:21Z,US,Kindle for iOS,Reading Insights,4
2024-03-07T21:10:01Z,US,Kindle for iOS,,2
2024-03-29T13:58:08Z,US,Kindle for iOS,Recommended for you,15
2024-04-06T01:56:27Z,US,Kindle for iOS,,16
2024-03-03T06:59:52Z,US,Kindle for iOS,Reading Insights,4
2024-02-24T14:32:05Z,US,Kindle for iOS,,4
2024-04-14T22:59:43Z,US,Kindle for iOS,Based on your reading,4
2024-03-25T15:29:37Z,US,Kindle for iOS,,5
2024-04-06T01:57:17Z,US,Kindle for iOS,,2
2024-04-04T17:28:19Z,US,Kindle for iOS,,4
2024-03-10T01:26:38Z,US,Kindle for iOS,Reading Insights,4
2024-03-03T07:26:32Z,US,Kindle for iOS,Reading Insights,4
2024-03-16T14:41:33Z,US,Kindle for iOS,,4
2024-03-03T07:26:50Z,US,Kindle for iOS,Reading Insights,4
2024-04-04T03:10:54Z,US,Kindle for iOS,Reading Insights,4
2024-04-08T22:33:16Z,US,Kindle for iOS,Reading Insights,5
2024-03-17T01:29:20Z,US,Kindle for iOS,,6
2024-03-29T13:58:18Z,US,Kindle for iOS,More like [book title],6
2024-04-11T14:07:24Z,US,Kindle for iOS,Reading Insights,4
2024-04-09T18:50:53Z,US,Kindle for iOS,Reading Insights,4
2024-03-18T21:43:59Z,US,Kindle for iOS,More like your recent books,4
2024-03-08T18:47:38Z,US,Kindle for iOS,Reading Insights,4
