ASIN,Annotation Type,Customer modified date on device,DSN,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
B00O6V45E6,kindle.most_recent_read,2024-04-07T17:52:26Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-06T23:25:13Z,2024-04-07T17:52:26Z,,Not Available,Not Available,Not Available,FALSE
B00O6V45E6,kindle.continuous_read,2024-04-07T17:52:26Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-06T23:25:13Z,2024-04-07T17:52:26Z,,Not Available,Not Available,Not Available,FALSE
B00N6PD7L0,kindle.last_read,2024-04-08T02:49:21Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-07T19:08:17Z,2024-04-08T02:49:22Z,,Not Available,Not Available,Not Available,FALSE
B00N6PD7L0,kindle.most_recent_read,2024-04-08T02:49:21Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-07T19:08:17Z,2024-04-08T02:49:22Z,,Not Available,Not Available,Not Available,FALSE
B00N6PD7L0,kindle.continuous_read,2024-04-08T02:49:21Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-07T19:08:17Z,2024-04-08T02:49:22Z,,Not Available,Not Available,Not Available,FALSE
B00O6V45CS,kindle.last_read,2024-04-08T22:51:09Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-08T14:58:55Z,2024-04-08T22:51:08Z,,Not Available,Not Available,Not Available,FALSE
B00O6V45CS,kindle.most_recent_read,2024-04-08T22:51:09Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-08T14:58:55Z,2024-04-08T22:51:08Z,,Not Available,Not Available,Not Available,FALSE
B00O6V45CS,kindle.continuous_read,2024-04-08T22:51:09Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-08T14:58:55Z,2024-04-08T22:51:08Z,,Not Available,Not Available,Not Available,FALSE
B00QE1DLIC,kindle.bookmark,2024-04-09T00:13:44Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-09T00:14:15Z,2024-04-09T00:14:15Z,,Not Available,Not Available,Not Available,FALSE
B00QE1DLIC,kindle.highlight,2024-04-09T00:24:55Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-09T00:30:30Z,2024-04-09T00:30:30Z,{mchl_color:yellow},Not Available,Not Available,Not Available,FALSE
B00QE1DLIC,kindle.last_read,2024-04-09T05:34:59Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-08T22:33:27Z,2024-04-09T05:34:59Z,,Not Available,Not Available,Not Available,FALSE
B00QE1DLIC,kindle.most_recent_read,2024-04-09T05:34:59Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-08T22:33:27Z,2024-04-09T05:34:59Z,,Not Available,Not Available,Not Available,FALSE
B00QE1DLIC,kindle.continuous_read,2024-04-09T05:34:59Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-08T22:33:27Z,2024-04-09T05:34:59Z,,Not Available,Not Available,Not Available,FALSE
B08YH4N5DY,audible.last_heard,2024-04-09T11:24:36Z,cuBo0SbquCOUCgLoTutVpiSBVsN3xzShkp3AJ5US,AUDI,M4A_AAX_44,2024-04-04T08:58:13Z,2024-04-09T11:26:19Z,,Not Available,Not Available,Not Available,FALSE
