"Start Date","End Date","Event Duration Milliseconds","Start Position Milliseconds","End Position Milliseconds","Product Name","ASIN","Book Length Milliseconds","Delivery Type","Narration Speed","Bookmark","Audio Type","Asin Owned","Listening Mode","Store","App Version","Local Timezone"
"2025-09-15","2025-09-15","1885","4675359","4677392","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.20","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-15","2025-09-15","289835","4363820","4710851","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.20","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-15","2025-09-15","85948","4260665","4363818","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.20","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-15","2025-09-15","110900","4094406","4260665","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.50","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-15","2025-09-15","4583","4089375","4094406","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-15","2025-09-15","64421","4010990","4089374","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-15","2025-09-15","9947","4074199","4085998","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","63632","3996619","4073860","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","54715","3928809","3995361","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","29571","3888980","3924804","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","308269","3513017","3888978","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","87908","3405458","3512489","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","127372","3250340","3405456","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
"2025-09-14","2025-09-14","25942","3219516","3250339","Love & Other Killers (Unabridged)","B0FJ2Y1GB8","4764827","Download","1.22","0","FullTitle","No","Online","Audible","7.41","America/Chicago"
