created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2024-03-17T03:54:41Z,US,Not Available,Kindle for iOS,B017S3J3X6,Before You Go BSE,Reach end of book,2024-03-17T03:54:39Z,2024-03-17T03:54:41Z,KFX
2024-03-13T13:43:54Z,US,Not Available,Kindle for iOS,B08266PLCC,Before You Go BSE,Reach end of book,2024-03-13T13:43:46Z,2024-03-13T13:43:54Z,KFX
2024-02-25T06:17:03Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Before You Go BSE,Reach end of book,2024-02-25T06:16:59Z,2024-02-25T06:17:03Z,KFX
2024-03-03T07:25:27Z,US,Not Available,Kindle for iOS,B09X6KD3CS,Before You Go BSE,Reach end of book,2024-03-03T07:25:21Z,2024-03-03T07:25:27Z,KFX
2024-03-10T01:24:41Z,US,Not Available,Kindle for iOS,B07WJ2X243,Before You Go BSE,Reach end of book,2024-03-10T01:24:27Z,2024-03-10T01:24:41Z,KFX
2024-03-03T17:24:35Z,US,Not Available,Kindle for iOS,B01MST9RU9,Before You Go BSE,Reach end of book,2024-03-03T17:24:29Z,2024-03-03T17:24:35Z,KFX
2024-03-07T03:57:47Z,US,Not Available,Kindle for iOS,B01KB8XC5A,Before You Go BSE,Reach end of book,2024-03-07T03:57:41Z,2024-03-07T03:57:47Z,KFX
2024-03-16T20:54:54Z,US,Not Available,Kindle for iOS,B01M04PNMH,Before You Go BSE,Reach end of book,2024-03-16T20:54:34Z,2024-03-16T20:54:54Z,KFX
2024-03-03T07:28:08Z,US,Not Available,Kindle for iOS,B09QY2KWKY,Before You Go BSE,Reach end of book,2024-03-03T07:28:06Z,2024-03-03T07:28:08Z,KFX
2024-02-25T23:52:32Z,US,Not Available,Kindle for iOS,B0B232HFC9,Before You Go BSE,Reach end of book,2024-02-25T23:52:30Z,2024-02-25T23:52:32Z,KFX
2024-03-14T17:21:36Z,US,Not Available,Kindle for iOS,B0C7QYS91W,Before You Go BSE,Reach end of book,2024-03-14T17:21:25Z,2024-03-14T17:21:36Z,KFX
2024-03-04T03:38:59Z,US,Not Available,Kindle for iOS,B01MYYEYWP,Before You Go BSE,Reach end of book,2024-03-04T03:38:41Z,2024-03-04T03:38:59Z,KFX
2024-03-12T06:05:34Z,US,Not Available,Kindle for iOS,B09P5GT746,Before You Go BSE,Reach end of book,2024-03-12T06:05:21Z,2024-03-12T06:05:34Z,KFX
2024-03-11T12:49:58Z,US,Not Available,Kindle for iOS,B0BJMZ2FQ3,About This Book BSE,Click on About This Book,2024-03-11T12:49:28Z,2024-03-11T12:49:58Z,KFX
2024-03-18T21:29:07Z,US,Not Available,Kindle for iOS,B00846REIS,Before You Go BSE,Reach end of book,2024-03-18T21:29:02Z,2024-03-18T21:29:07Z,KFX
2024-04-06T19:34:59Z,US,Not Available,Kindle for iOS,B00FO60CH6,Before You Go BSE,Reach end of book,2024-04-06T19:34:53Z,2024-04-06T19:34:59Z,KFX
2024-02-24T02:54:23Z,US,Not Available,Kindle for iOS,B0CL7GMPD4,About This Book BSE,Open the book,2024-02-24T02:54:17Z,2024-02-24T02:54:23Z,KFX
2024-02-24T20:52:55Z,US,Not Available,Kindle for iOS,B09S1CMMBT,About This Book BSE,Open the book,2024-02-24T20:52:54Z,2024-02-24T20:52:55Z,KFX
2024-03-12T06:17:45Z,US,Not Available,Kindle for iOS,B09P5GT746,Before You Go BSE,Reach end of book,2024-03-12T06:17:43Z,2024-03-12T06:17:45Z,KFX
2024-03-14T00:07:50Z,US,Not Available,Kindle for iOS,B08266SRVP,Before You Go BSE,Reach end of book,2024-03-14T00:07:44Z,2024-03-14T00:07:50Z,KFX
2024-03-22T11:52:30Z,US,Not Available,Kindle for iOS,B0B1KVSRCL,Before You Go BSE,Reach end of book,2024-03-22T11:52:19Z,2024-03-22T11:52:30Z,KFX
2024-03-07T03:52:41Z,US,Not Available,Kindle for iOS,B01KB8XC5A,Before You Go BSE,Reach end of book,2024-03-07T03:52:27Z,2024-03-07T03:52:41Z,KFX
2024-03-05T01:01:43Z,US,Not Available,Kindle for iOS,B09NJBVM8Z,Before You Go BSE,Reach end of book,2024-03-05T01:01:42Z,2024-03-05T01:01:43Z,KFX
