created_timestamp,preferred_marketplace,country,device_family,ASIN,Actions,Kindle Special Offers Status
2024-04-22T03:11:38Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T00:39:06Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T20:25:16Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T01:09:57Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-21T23:19:19Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-03-31T00:23:52Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-23T04:57:06Z,www.amazon.com,US,Kindle E-reader,B09X6HZ4FT,exiting lock screen,Kindle Special Offers not enabled
2024-07-20T16:27:54Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-07-18T18:02:01Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-03-29T02:58:04Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-05T00:17:45Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,transition to screen saver,Kindle Special Offers not enabled
2024-04-20T18:05:49Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T23:25:14Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-03-30T00:49:03Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T20:16:13Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-13T16:19:39Z,www.amazon.com,US,Kindle E-reader,B0778CV9Y4,transition to screen saver,Kindle Special Offers not enabled
2024-04-11T02:43:03Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI,exiting lock screen,Kindle Special Offers not enabled
2024-04-15T20:17:47Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T14:06:10Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-20T15:35:20Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T19:25:06Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,exiting lock screen,Kindle Special Offers not enabled
2023-12-01T12:17:10Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-15T00:56:05Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-03-30T20:02:45Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T23:53:37Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,exiting lock screen,Kindle Special Offers not enabled
