created_timestamp,search_string_length,preferred_marketplace,app_tab,country,outcome,device_family,store_results_shown,ASIN,library_results_shown,store_result_position,library_result_position,search_id
2024-05-21T00:17:02Z,15,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,2,No Results Selected,4992DF82-8F60-48CD-910D-DBD9E19E0FD5
2024-10-14T23:37:44Z,21,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,2,No Results Selected,E530BAE9-F50D-492E-AA71-F1D4B9D40F6E
2024-02-26T08:33:15Z,31,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,C3AC1EAE-BFA4-48D0-84E7-329542459DCF
2024-04-26T19:55:56Z,10,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,AA7893A3-C792-4AC4-9ACB-D3AE237A0117
2024-03-28T21:22:41Z,4,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,99D80940-B6C0-49DB-8451-55CF801F86BB
2025-09-27T17:09:07Z,12,www.amazon.com,Library,,StorePageOpen,Kindle for iOS,yes,,No,3,No Results Selected,0B019F7B-8856-4D55-A133-71EA1A0E7ACE
2024-02-26T00:02:40Z,17,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,FC25841C-95D6-4910-97DE-CC2F341F50C3
2025-01-15T22:28:12Z,14,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,33915F96-AC78-4C68-BA45-61A7515F80BB
2024-03-04T00:06:31Z,22,www.amazon.com,Library,,ExitSearch,Kindle for iOS,yes,,Yes,No Results Selected,1,5BF491EB-5E88-4D69-AAA2-49DC43AFDD6B
2025-01-10T22:57:23Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,7BB5C9BE-F34C-48FC-A32A-9BD580CA0AA9
2025-01-28T03:54:19Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,D7165108-CE66-408F-A521-C38CA2B770CD
2024-12-19T14:44:38Z,0,www.amazon.com,Home,,SearchAgain,Kindle for iOS,No,,No,No Results Selected,No Results Selected,48831645-6723-4D7B-B3E2-48CF9C68E543
2024-03-06T12:27:03Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,E959EE7B-6AAB-43E6-ABC9-329AB2C96344
2025-04-21T15:23:47Z,6,www.amazon.com,Home,,LibraryBookOpen,Kindle for iOS,yes,,Yes,No Results Selected,1,5E5AF4DD-6546-4624-9BA4-335D0C0701B3
2024-12-31T05:27:27Z,0,www.amazon.com,Library,,SearchAgain,Kindle for iOS,No,,No,No Results Selected,No Results Selected,D14B185E-DD41-4F53-86FC-BCB33907DEAD
2024-03-07T10:48:32Z,8,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,7267F85B-0DDE-4D6A-88AF-B2348FE8ADF5
2024-02-25T23:59:45Z,11,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,1,No Results Selected,89226270-1245-4A68-9990-8C557316BD10
2025-04-03T23:32:16Z,16,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,1F260AE1-752D-4220-8F27-905C2636522A
2025-06-10T00:28:53Z,9,www.amazon.com,Library,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,9FA5E647-B448-4C59-9AD5-0A49EB07A4A1
2024-05-21T00:15:44Z,15,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,4992DF82-8F60-48CD-910D-DBD9E19E0FD5
2024-04-18T23:00:33Z,40,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,No Results Selected,No Results Selected,88ADFDB4-84C3-4357-9E2E-1EA23CF06BD3
2025-09-14T03:13:36Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,E1900D8E-92ED-42FC-ADAB-66896373AF95
2025-09-14T03:33:37Z,22,www.amazon.com,Home,,LibraryBookOpen,Kindle for iOS,yes,,Yes,No Results Selected,1,E1900D8E-92ED-42FC-ADAB-66896373AF95
2024-07-08T21:34:11Z,18,www.amazon.com,Home,,SearchAgain,Kindle for iOS,yes,,Yes,No Results Selected,1,7CD520BE-BA73-4417-9272-0BEF3CE41E51
2024-11-29T20:16:50Z,12,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,1,No Results Selected,3BFFA122-07E8-4672-966F-DED1E524E894
2024-09-21T14:55:12Z,13,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,4E1B476B-27DE-40A9-82F1-AF1D76A0D61F
2025-06-08T03:22:46Z,23,www.amazon.com,Home,,ExitSearch,Kindle for iOS,No,,No,No Results Selected,No Results Selected,776031D5-3650-4AD1-9E5A-AC5E23373609
2024-02-26T00:13:12Z,16,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,6C98BAA2-869D-4518-B581-0F48A1B4FDCC
2024-12-10T02:11:33Z,23,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,B5A45485-1BA3-4C76-BF05-E4C48DC359BB
2025-06-08T02:45:11Z,10,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,3,No Results Selected,47862BB5-34EB-4B5D-AAAC-5B9F8E3935FA
2024-02-25T23:58:24Z,41,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,yes,,No,No Results Selected,No Results Selected,89226270-1245-4A68-9990-8C557316BD10
2024-03-22T02:40:37Z,20,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,1,No Results Selected,343E644E-7F4E-4C44-B885-46002E502F90
2025-06-09T02:39:44Z,11,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,05D2CB3A-40FF-445E-A608-B63CB355687A
2024-03-22T02:42:00Z,13,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,A70D4867-DF95-49CA-9D46-72631FB2DB91
2025-06-08T03:22:14Z,23,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,776031D5-3650-4AD1-9E5A-AC5E23373609
2025-01-12T14:26:40Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,1238D367-CE42-457F-A011-6C3DF1727438
2024-03-23T02:32:13Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,B854E514-25F3-4D72-9BEE-8AF6D1E504A8
2024-03-28T02:38:07Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,F92520E3-55E9-48A7-8DFC-5D250F4015B8
2024-05-05T14:34:40Z,15,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,0564AD8A-DCB3-4E8B-AA55-42992C98CF45
2025-02-18T03:10:44Z,10,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,CCAEDE1B-33BB-49C3-A8A0-031AE99BB802
2024-08-17T20:49:03Z,22,www.amazon.com,Library,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,897D5A51-6EB0-4AC5-BD12-E49157992265
2024-03-08T17:11:27Z,0,www.amazon.com,Home,,SearchAgain,Kindle for iOS,yes,,No,No Results Selected,No Results Selected,CD97AB5E-9941-4993-929F-E68FE80C9BEC
2024-05-05T15:22:01Z,15,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,0564AD8A-DCB3-4E8B-AA55-42992C98CF45
2024-08-18T21:30:21Z,14,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,2,No Results Selected,60A2FF25-F138-48FA-8FCE-8F52F009910A
2024-12-31T16:28:56Z,27,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,1,No Results Selected,A1E76DCB-B317-43CB-A439-25C01ACF1F85
2024-03-22T02:44:38Z,0,www.amazon.com,Home,,SearchAgain,Kindle for iOS,No,,No,No Results Selected,No Results Selected,73720B2A-698D-440A-B861-68A11889D74A
2025-04-12T14:23:34Z,22,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,3074B717-97F6-480E-8A4B-8906663946BA
2024-12-31T05:27:41Z,13,www.amazon.com,Library,,SearchSuggestionClicked,Kindle for iOS,yes,,No,No Results Selected,No Results Selected,D14B185E-DD41-4F53-86FC-BCB33907DEAD
2025-06-05T02:34:13Z,17,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,1,No Results Selected,416AF520-3BDF-4777-ADBE-ADBB04DFFC52
2025-02-13T14:12:33Z,13,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,CCA8B32D-FF3B-43FE-A95C-AA28431A44C5
2024-11-15T03:47:33Z,19,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,AB3FC3D9-59A6-4D67-8661-BC0DDA8B228A
2025-06-24T01:22:52Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,4AC70EAF-CD89-462B-AAAC-1F46E8DE4A54
2024-10-23T22:32:20Z,17,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,F32811E4-915D-4C8F-88B5-C632F3272C44
2025-06-17T00:51:46Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,2552D345-E90B-4A89-AC39-3AF1480FDB1B
2025-02-15T22:51:12Z,15,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,DD49F98C-E15A-444C-BEB9-0639A642F062
2025-10-05T00:07:53Z,10,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,2,No Results Selected,B96C49F8-FBA6-4EBD-BCE8-E4FC15727B97
2025-04-21T18:35:39Z,17,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,785136F6-E775-4F35-B82D-45322524CFE1
