ASIN,country,created_timestamp,preferred_marketplace,device_family,item_clicked_on_ASIN,card_position,item_position_within_card,action,action_type,action_source,kindle_app_version
Not Available,,2024-03-05T15:26:49Z,www.amazon.com,Kindle for iOS,,1,1,STORE,tap,BROWSE_OPTIONS_LIST_ZONE.0,1191412234
Not Available,,2024-02-26T00:13:18Z,www.amazon.com,Kindle for iOS,,5,1,STREAK_CALENDAR,click,WEBVIEW_1,1191412106
Not Available,,2024-04-16T15:29:08Z,www.amazon.com,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412746
Not Available,,2024-09-29T12:43:44Z,www.amazon.com,Kindle for iOS,,1,2,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.1,1191414282
Not Available,,2024-08-17T07:50:08Z,www.amazon.com,Kindle for iOS,,16,1,WEB,tap,WEBVIEW_1,1191413648
Not Available,,2024-09-21T14:32:48Z,www.amazon.com,Kindle for iOS,,14,1,QUICKVIEW,tap,WEBVIEW_1,1191414154
Not Available,,2024-10-05T09:58:20Z,www.amazon.com,Kindle for iOS,B09H7Q4B74,14,5,QUICKVIEW,tap,BOOK_ENTITY_LIST.4,1191414282
Not Available,,2024-03-05T15:03:17Z,www.amazon.com,Kindle for iOS,B093DQNY17,10,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191412234
Not Available,,2024-08-15T07:34:15Z,www.amazon.com,Kindle for iOS,B0B6V8WKN5,8,13,QUICKVIEW,tap,BOOK_ENTITY_LIST.12,1191413648
Not Available,,2024-04-24T03:11:47Z,www.amazon.com,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412874
Not Available,,2025-08-05T01:05:41Z,www.amazon.com,Kindle for iOS,B0FK78LV2K,5,2,QUICKVIEW,tap,BOOK_ENTITY_LIST.1,1191416458
Not Available,,2025-06-07T13:10:58Z,www.amazon.com,Kindle for iOS,,5,1,STORE,tap,BUTTON_1,1191415946
Not Available,,2025-04-09T02:58:20Z,www.amazon.com,Kindle for iOS,B0DQVGJ7ZK,7,12,QUICKVIEW,tap,BOOK_ENTITY_LIST.11,1191415434
Not Available,,2025-06-11T23:42:20Z,www.amazon.com,Kindle for iOS,B0D5YMWD9Y,4,6,QUICKVIEW,tap,BOOK_ENTITY_LIST.5,1191415946
Not Available,,2025-06-01T05:19:56Z,www.amazon.com,Kindle for iOS,,6,1,CATEGORY,click,WEBVIEW_1,1191415946
Not Available,,2025-06-11T23:42:53Z,www.amazon.com,Kindle for iOS,B0DXRFJWTR,5,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191415946
Not Available,,2025-06-11T23:42:06Z,www.amazon.com,Kindle for iOS,B0DWLNDVJS,4,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191415946
Not Available,,2025-03-19T22:29:16Z,www.amazon.com,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191415306
Not Available,,2025-06-30T20:39:43Z,www.amazon.com,Kindle for iOS,B0FBRV6PY2,4,2,QUICKVIEW,tap,BOOK_ENTITY_LIST.1,1191416224
Not Available,,2025-06-06T03:41:17Z,www.amazon.com,Kindle for iOS,B0F499LJL8,10,4,QUICKVIEW,tap,BOOK_ENTITY_LIST.3,1191415946
Not Available,,2025-06-01T05:20:51Z,www.amazon.com,Kindle for iOS,B0F3K2KJGR,8,4,QUICKVIEW,tap,BOOK_ENTITY_LIST.3,1191415946
Not Available,,2024-12-30T02:23:05Z,www.amazon.com,Kindle for iOS,,1,1,STORE,tap,BROWSE_OPTIONS_LIST_ZONE.0,1191414688
Not Available,,2025-05-14T20:15:59Z,www.amazon.com,Kindle for iOS,B0DXRFJWTR,4,3,QUICKVIEW,tap,BOOK_ENTITY_LIST.2,1191415818
Not Available,,2025-08-01T22:56:48Z,www.amazon.com,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191416458
Not Available,,2025-04-24T23:03:13Z,www.amazon.com,Kindle for iOS,B0DJQCK4N5,10,2,QUICKVIEW,tap,BOOK_ENTITY_LIST.1,1191415648
Not Available,,2025-01-15T21:44:53Z,www.amazon.com,Kindle for iOS,B01LXAFIAH,8,22,QUICKVIEW,tap,BOOK_ENTITY_LIST.21,1191414794
