Created Timestamp,Marketplace ID,Country,Device Family,ASIN,Context,Action,Reading Mode,Duration,Audio Type
2024-03-20T23:23:15Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Pause,Vertical Scroll View,260,Audible
2024-03-20T13:22:00Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Open Full Audio Player,Vertical Scroll View,0,Audible
2024-03-27T10:39:05Z,US,,Kindle for iOS,B08X472VK3,Inbook Mini Player,Pause,Vertical Scroll View,3887,Audible
2024-03-27T14:05:36Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-20T12:50:49Z,US,,Kindle for iOS,,Out of App,Pause,Paginated View,0,Audible
2024-03-22T20:31:05Z,US,,Kindle for iOS,B0CHWQPB49,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-21T08:21:16Z,US,,Kindle for iOS,B0183KJZE0,Out of App,Rewind 30 Seconds,Vertical Scroll View,0,Audible
2024-03-20T13:24:03Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Pause,Vertical Scroll View,2171,Audible
2024-03-19T20:40:15Z,US,,Kindle for iOS,,Out of App,Rewind 30 Seconds,Paginated View,0,Audible
2024-03-25T17:09:54Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-21T11:20:59Z,US,,Kindle for iOS,B0183KJZE0,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-20T21:48:30Z,US,,Kindle for iOS,,Out of App,Pause,Paginated View,328,Audible
2024-03-27T19:32:05Z,US,,Kindle for iOS,B09ZKRWCG4,Inbook Mini Player,Rewind 30 Seconds,Vertical Scroll View,0,Audible
2024-03-22T22:11:05Z,US,,Kindle for iOS,,Out of App,Rewind 30 Seconds,Paginated View,0,Audible
2024-03-25T18:03:56Z,US,,Kindle for iOS,B07Y82JMF8,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-21T00:14:35Z,US,,Kindle for iOS,B00NEQRNVG,Inbook Mini Player,Pause,Vertical Scroll View,1836,Audible
2024-03-21T08:21:14Z,US,,Kindle for iOS,B0183KJZE0,Out of App,Rewind 30 Seconds,Vertical Scroll View,0,Audible
2024-03-14T05:21:55Z,US,,Kindle for iOS,B0CL7L1Y9X,Inbook Mini Player,Play,Vertical Scroll View,0,Audible
2024-03-22T03:21:49Z,US,,Kindle for iOS,B0BJMZ2FQ3,Inbook Full Player,Open Timer Control,Vertical Scroll View,0,Audible
