record-type,series-ASIN,series-product-name,customer-owned-item-count-in-series,item-ASIN,item-product-name,item-position-in-series,record-created-by,record-updated-by,time-of-latest-acquisition-of-series-in-utc
Item,B08NT4SGNT,Throne Of Glass Series,Not Applicable,urn:collection:1:asin-B07F7PTQ3D,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B0FV9BS283,Boston Bolts Hockey,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B0FFGJY9XT,The Empyrean,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B0D8QGPBS7,Carnage,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B0CVQTVJMB,Bright Side,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B0CV7QRVSS,The Handmaid's Tale,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B0CDLRY243,Crescent City,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B0C69YTQHT,Better Love,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B0BVFZMBM9,Boys of Tommen,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B0BSVM1KGB,Jacksonville Rays,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B0B4MZ49G2,Mistborn,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B09PL7CHTN,Crossfire,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B09M4HG6PS,What to Expect When You're Expecting,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B097R8BHBB,A Court of Thorns and Roses,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B08YP15Q16,Chicago Law,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B08PHZTF78,The Stormlight Archive,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Series,B08NT4SGNT,Throne Of Glass Series,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,Not Applicable
Item,B0CY5XC7RR,The Agitators Series,Not Applicable,B0CFDCMPVC,He's Not My Type (The Agitators Series Book 4),3,Customer Ownership,Internal Process,2025-09-30T21:43:39.731Z
Series,B0CY5XC7RR,The Agitators Series,3,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2025-09-30T21:43:39.731Z
Item,B0CY5XC7RR,The Agitators Series,Not Applicable,B0BSG1XDTR,"Right Man, Right Time (The Agitators Series Book 3)",2,Customer Ownership,Internal Process,2025-09-29T13:29:37.865Z
Item,B0CY5XC7RR,The Agitators Series,Not Applicable,B09QD52KWF,Those Three Little Words (The Agitators Series Book 2),1,Customer Ownership,Internal Process,2025-09-28T15:44:30.084Z
Item,B094HDZ8LQ,Better Love,Not Applicable,B094GCNRBZ,Love You Better: A friends to lovers romance (Better Love),0,Customer Ownership,Internal Process,2025-08-27T20:27:56.728Z
Series,B094HDZ8LQ,Better Love,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2025-08-27T20:27:56.728Z
Item,B0F6K3BNST,London Hearts,Not Applicable,B0F45JL25S,The Other Brother (London Hearts Book 1),0,Customer Ownership,Internal Process,2025-07-13T18:20:25.583Z
Series,B0F6K3BNST,London Hearts,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2025-07-13T18:20:25.583Z
Item,B0D9MSNGM1,Boston Bolts Hockey,Not Applicable,B0CW6HCYCX,Hockey Boy : Boston Bolts Hockey,0,Customer Ownership,Internal Process,2025-07-10T23:25:05.042Z
Series,B0D9MSNGM1,Boston Bolts Hockey,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2025-07-10T23:25:05.042Z
Item,B0DTHN2CY9,Ravenhood Legacy,Not Applicable,B0D5YMWD9Y,Severed Heart (Ravenhood Legacy Book 2),1,Customer Ownership,Internal Process,2025-06-24T11:23:34.540Z
Series,B0DTHN2CY9,Ravenhood Legacy,2,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2025-06-24T11:23:34.540Z
Item,B0D64ZHXWY,Hardy Billionaires,Not Applicable,B0BK79W1FZ,Between Commitment and Betrayal: An Arranged Marriage Romance (Hardy Billionaires),0,Customer Ownership,Internal Process,2025-06-12T04:44:41.505Z
Series,B0D64ZHXWY,Hardy Billionaires,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2025-06-12T04:44:41.505Z
Item,B0D17JGPWV,Into Darkness,Not Applicable,B0DJPZ5CGC,Caught Up: An Into Darkness Novel (An into Darkness Novel (Into Darkness Series) Book 2),1,Customer Ownership,Internal Process,2025-06-10T04:06:02.470Z
Series,B0D17JGPWV,Into Darkness,2,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2025-06-10T04:06:02.470Z
Item,B074C5T5MN,Bright Side,Not Applicable,B00LJKT64Q,Bright Side,0,Customer Ownership,Internal Process,2025-06-09T02:39:16.457Z
Series,B074C5T5MN,Bright Side,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2025-06-09T02:39:16.457Z
Item,B074C5Y9D1,Carnage,Not Applicable,B00IERA5RY,The Story Of Us: Carnage Book One,0,Customer Ownership,Internal Process,2025-06-05T01:54:15.381Z
Series,B074C5Y9D1,Carnage,1,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2025-06-05T01:54:15.381Z
Item,B07MDWGDVH,Boys of Tommen,Not Applicable,B0F1Y9XH1B,"Releasing 10: An Epic, Emotional, and Addictive Romance from TikTok Phenomenon! (Boys of Tommen Book 6)",5,Customer Ownership,Internal Process,2025-05-28T02:34:54.621Z
Series,B07MDWGDVH,Boys of Tommen,2,Not Applicable,Not Available,Not Applicable,Internal Process,Internal Process,2025-05-28T02:34:54.621Z
Item,B074CBP9DY,The Stormlight Archive,Not Applicable,B003P2WO5E,"The Way of Kings: Book One of the Stormlight Archive (The Stormlight Archive, 1)",0,Customer Ownership,Internal Process,2025-05-18T01:50:07.007Z
