created_timestamp,preferred_marketplace,country_code,device_family,ASIN,action,Entry Point
2024-11-23T10:13:20Z,www.amazon.com,Not Available,Kindle for iOS,B01LOWN78Y,Before You Go Annotations Shown,BeforeYouGo
2025-08-23T22:04:56Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,Before You Go Annotations Shown,BeforeYouGo
2025-06-29T21:14:11Z,www.amazon.com,Not Available,Kindle for iOS,B0D5YMWD9Y,Before You Go Annotations Shown,BeforeYouGo
2025-01-13T07:23:20Z,www.amazon.com,Not Available,Kindle for iOS,B09X4PVC6F,Before You Go Annotations Shown,BeforeYouGo
2025-07-26T22:07:00Z,www.amazon.com,Not Available,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F,NotebookClosed,FullWindowNotebook
2025-05-30T02:53:25Z,www.amazon.com,Not Available,Kindle for iOS,B0F1Y9XH1B,NotebookClosed,FullWindowNotebook
2025-05-30T19:20:26Z,www.amazon.com,Not Available,Kindle for iOS,B0F1Y9XH1B,NotebookOpened,FullWindowNotebook
2025-04-16T00:06:49Z,www.amazon.com,Not Available,Kindle for iOS,B0CW1J839S,Before You Go Annotations Shown,BeforeYouGo
2025-05-30T20:12:10Z,www.amazon.com,Not Available,Kindle for iOS,B0F1Y9XH1B,GoToBookmark,FullWindowNotebook
2025-03-23T22:43:23Z,www.amazon.com,Not Available,Kindle for iOS,B08HJDG47W,GoToBookmark,FullWindowNotebook
2025-05-30T20:12:10Z,www.amazon.com,Not Available,Kindle for iOS,B0F1Y9XH1B,NotebookClosed,FullWindowNotebook
2025-05-30T20:11:23Z,www.amazon.com,Not Available,Kindle for iOS,B0F1Y9XH1B,NotebookClosed,FullWindowNotebook
2025-06-04T01:45:53Z,www.amazon.com,Not Available,Kindle for iOS,B0CHBML59T,Before You Go Annotations Swiped,BeforeYouGo
2024-11-01T19:44:19Z,www.amazon.com,Not Available,Kindle for iOS,B0D4W772V5,Before You Go Annotations Swiped,BeforeYouGo
2025-02-02T03:11:43Z,www.amazon.com,Not Available,Kindle for iOS,B093WB84G1,NotebookClosed,FullWindowNotebook
2025-04-11T02:32:55Z,www.amazon.com,Not Available,Kindle for iOS,B0D1PC9FHN,Before You Go Annotations Shown,BeforeYouGo
2024-12-13T15:33:03Z,www.amazon.com,Not Available,Kindle for iOS,B0C44CFZPD,NotebookOpened,FullWindowNotebook
