created_timestamp,preferred_marketplace,country,device_family,ASIN,Selection highlight menu action,selection,audio_enabled
2025-07-18T13:47:15Z,www.amazon.com,,Kindle for iOS,B0BT9W3ZS2,Open selection highlight menu,26,false
2025-09-11T12:52:03Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Remove highlight,8,false
2025-09-02T03:23:47Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Remove highlight,34,false
2025-09-20T17:22:18Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,13,false
2025-08-26T17:03:05Z,www.amazon.com,,Kindle for iOS,B003IYI6TC,Open selection highlight menu,7,false
2025-07-20T13:26:51Z,www.amazon.com,,Kindle for iOS,B0C4GRKJTF,Open selection highlight menu,6,false
2025-10-01T22:41:22Z,www.amazon.com,,Kindle for iOS,B0CFDCMPVC,Open selection highlight menu,19,false
2025-09-21T14:49:24Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Open selection highlight menu,1,false
2025-07-17T23:51:42Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Open selection highlight menu,9,false
2025-08-18T02:37:24Z,www.amazon.com,,Kindle for iOS,B0CQKGZL6K,Remove highlight,33,false
2025-09-03T04:09:44Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Open selection highlight menu,1,false
2025-09-24T00:44:30Z,www.amazon.com,,Kindle for iOS,B0DSRPZ7NY,Open selection highlight menu,1,false
2025-09-14T13:14:18Z,www.amazon.com,,Kindle for iOS,B0DWSZPM62,Dismiss,7,false
2025-09-05T12:10:42Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Remove highlight,32,false
2025-09-01T17:46:36Z,www.amazon.com,,Kindle for iOS,B0DPX5M3BH,Dismiss,29,false
2025-09-19T01:18:54Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,2,false
2025-09-13T01:57:07Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Open selection highlight menu,1,false
