created_timestamp,preferred_marketplace,country_of_residence,device_family,ASIN,audible_immersion_reading_context,audible_immersion_reading_action,book_reading_mode,narration_duration_in_seconds
2025-09-15T00:25:35Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,291
2025-10-05T01:42:05Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,26
2025-10-07T00:07:53Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,inbook_mini_player,narration,paginated_view,308
2025-09-14T23:45:03Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,396
2025-09-14T21:08:20Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,5
2025-09-14T21:34:31Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,227
2025-10-06T03:52:58Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,rewind_30,not_applicable,0
2025-10-06T12:29:52Z,www.amazon.com,Not Available,Kindle for iOS,B0DCG89SDJ,inbook_mini_player,narration,vertical_scroll_view,2159
2025-10-06T03:51:18Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,3
2025-09-14T23:56:22Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,63
2025-09-14T23:33:51Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,6
2025-10-05T01:41:32Z,www.amazon.com,Not Available,Kindle for iOS,B0DCG89SDJ,inbook_mini_player,narration,vertical_scroll_view,7
2025-09-14T23:32:32Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,2
2025-09-14T23:32:47Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,out_of_app,narration,not_applicable,12
2025-09-14T21:08:10Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,4
2025-09-14T23:33:51Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,narration,vertical_scroll_view,0
2025-09-14T22:03:45Z,www.amazon.com,Not Available,Kindle for iOS,B0FBMM3SCD,inbook_mini_player,rewind_30,not_applicable,0
2025-09-14T21:09:53Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,7
2025-10-06T10:38:19Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,rewind_30,not_applicable,0
2025-10-06T10:53:38Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,4097
