created_timestamp,ASIN,customer_context,action,highlight_color,is_starred,show_options_after_highlighting,number_of_words_in_highlight,device_family,country,preferred_marketplace
2024-03-13T19:54:44Z,B08266SRVP,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-09T00:28:22Z,B01D6TA9Y8,QuickHighlight,AddHighlight,Not Available,No,Off,8,Kindle for iOS,Not Available,US
2024-03-03T04:04:44Z,B09QY2KWKY,QuickHighlight,AddHighlight,Not Available,No,Off,8,Kindle for iOS,Not Available,US
2024-04-06T17:03:08Z,B00FO60CH6,QuickHighlight,AddHighlight,Not Available,,On,,Kindle E-reader,US,US
2024-03-23T21:10:23Z,B00V3MY1GS,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-27T17:47:45Z,B09ZKRWCG4,QuickHighlight,AddHighlight,Not Available,No,Off,29,Kindle for iOS,Not Available,US
2024-03-03T19:25:26Z,B01N5C6HP9,QuickHighlight,AddHighlight,Not Available,No,Off,5,Kindle for iOS,Not Available,US
2024-03-26T16:45:33Z,B0BCZWC3QZ,QuickHighlight,AddHighlight,Not Available,No,Off,13,Kindle for iOS,Not Available,US
2024-03-04T16:41:33Z,B09NJBVM8Z,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-04T07:59:57Z,B01N7GREG9,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-27T05:21:10Z,B09X6KD3CS,QuickHighlight,AddHighlight,Not Available,No,Off,10,Kindle for iOS,Not Available,US
2024-04-02T13:49:55Z,5BEA93B92BE3430FB2DF09D918F5365C,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-28T11:54:47Z,B0BDW83LGQ,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-01T14:59:01Z,B0994RZ2L1,QuickHighlight,AddHighlight,Not Available,No,Off,6,Kindle for iOS,Not Available,US
2024-03-06T00:20:51Z,B07C7N5CBS,QuickHighlight,AddHighlight,Not Available,No,Off,6,Kindle for iOS,Not Available,US
2024-03-18T13:58:58Z,B00846REIS,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-26T08:49:38Z,B09X6KD3CS,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-26T13:28:11Z,B0BCZWC3QZ,QuickHighlight,AddHighlight,Not Available,No,Off,5,Kindle for iOS,Not Available,US
2024-02-24T21:22:28Z,B09S1CMMBT,QuickHighlight,AddHighlight,Not Available,No,Off,9,Kindle for iOS,Not Available,US
2024-03-25T01:22:51Z,B00V3MY186,QuickHighlight,AddHighlight,Not Available,No,Off,25,Kindle for iOS,Not Available,US
2024-03-26T00:01:22Z,B07Y82JMF8,QuickHighlight,AddHighlight,Not Available,No,Off,4,Kindle for iOS,Not Available,US
2024-03-05T18:55:53Z,B07C7N5CBS,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-21T02:10:26Z,B00NEQRNVG,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-09T03:25:09Z,B01D6TA9Y8,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-24T04:38:52Z,B0CB1RMZRC,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-21T07:41:26Z,B0183KJZE0,QuickHighlight,AddHighlight,Not Available,No,Off,2,Kindle for iOS,Not Available,US
2024-03-05T11:37:33Z,B07QNKVR3N,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-09T03:11:10Z,B01D6TA9Y8,QuickHighlight,AddHighlight,Not Available,No,Off,7,Kindle for iOS,Not Available,US
