created_timestamp,preferred_marketplace,country,device_family,ASIN,widget_action,widget_name
2024-03-18T03:02:41Z,US,Not Available,Kindle for iOS,B0CLT4QRQL,Click.Shelf.Read,grsh
2024-03-09T03:34:15Z,US,Not Available,Kindle for iOS,B01D6TA9Y8,Open,ttl
2024-03-05T14:53:10Z,US,Not Available,Kindle for iOS,B07QNKVR3N,Open,rtrv
2024-03-27T01:56:22Z,US,Not Available,Kindle for iOS,B0BNJMJ4K9,Collapse,BSE_SA
2024-03-03T07:26:10Z,US,Not Available,Kindle for iOS,B0BDW9C3JY,Open,Customers Who Bought This Also Bought
2024-02-23T22:34:14Z,US,Not Available,,B00ONUYEZA,Present.0,BSE_SA
2024-03-27T00:35:30Z,US,Not Available,Kindle for iOS,B0BCZWC3QZ,Click.Shelf,grsh
2024-03-03T07:26:27Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Open,Sharing
2024-03-07T03:52:27Z,US,Not Available,Kindle for iOS,B01KB8XC5A,Open,rtrv
2024-03-16T01:03:41Z,US,Not Available,Kindle for iOS,B07XQK3SGQ,Open,grsh
2024-03-13T13:42:52Z,US,Not Available,Kindle for iOS,B08266PLCC,Open,grsh
2024-02-24T14:32:32Z,US,Not Available,Kindle for iOS,B08K62VYDJ,Open,Book Description
2024-02-25T06:17:01Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Collapse,BSE_EA
2024-04-04T13:47:05Z,US,Not Available,Kindle for iOS,B0BJJTTM8K,Open,Follow the Author
2024-02-26T08:33:01Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Open,More by Author
2024-04-09T18:40:07Z,US,Not Available,Kindle for iOS,B00H57X864,Open,vl
2024-03-25T15:24:10Z,US,Not Available,Kindle for iOS,B00W22ITCU,Click.Cancel.GR.ReviewPage,rtrv
2024-02-24T20:52:54Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Open,ttl
2024-03-23T20:43:05Z,US,Not Available,Kindle for iOS,B00V3MY1IQ,Collapse,BSE_EA
2024-03-02T05:45:27Z,US,Not Available,Kindle for iOS,B0994RZ2L1,Open,vl
2024-03-18T21:27:39Z,US,Not Available,Kindle for iOS,B00846REIS,Click.Rate.GR,rtrv
