created_timestamp,preferred_marketplace,country,device_family,ASIN,Actions,Kindle Special Offers Status
2024-04-11T02:33:28Z,US,US,Kindle E-reader,B01L7Q54NI,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T23:31:52Z,US,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-05T06:33:06Z,US,US,Kindle E-reader,B008WOTQGU,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-31T03:15:38Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T23:53:37Z,US,US,Kindle E-reader,B00QE1DLIC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T17:40:02Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T01:30:24Z,US,US,Kindle E-reader,B00O6V45E6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T03:51:40Z,US,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T23:55:06Z,US,US,Kindle E-reader,B00QE1DLIC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T15:00:40Z,US,US,Kindle E-reader,B00BKK6E04,transition to screen saver,Kindle Special Offers not enabled
2024-04-11T02:13:15Z,US,US,Kindle E-reader,B01L7Q54NI,exiting lock screen,Kindle Special Offers not enabled
2024-04-06T04:16:35Z,US,US,Kindle E-reader,B00BKK6E04,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T01:47:08Z,US,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T18:03:07Z,US,US,Kindle E-reader,B00O6V45CS,exiting lock screen,Kindle Special Offers not enabled
2024-04-06T11:18:22Z,US,US,Kindle E-reader,B00BKK6E04,transition to screen saver,Kindle Special Offers not enabled
2024-03-29T02:58:04Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T02:04:43Z,US,US,Kindle E-reader,B00N6PD7L0,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-05T09:34:59Z,US,US,Kindle E-reader,B008WOTQGU,transition to screen saver,Kindle Special Offers not enabled
