asin_date_and_content_type,product_name
B09QY2KWKY_2024-03-02_AUTOMATIC,Twisted Lies
B09S1CMMBT_2024-02-25_AUTOMATIC,"Honestly, I'm Totally Faking It"
B09SS8VQD6_2024-09-28_AUTOMATIC,Say You Swear
B09SZKVFMG_2024-09-19_AUTOMATIC,The Intern (The Dalton Family Book 4)
B09V2J7P9F_2024-10-08_AUTOMATIC,Sabotage: A Dark Enemies to Lovers Romance
B09VV2CR51_2025-02-07_AUTOMATIC,Flawless: A Small Town Enemies to Lovers Romance
B09VV2CR51_2025-02-07_MANUAL,Flawless: A Small Town Enemies to Lovers Romance
B09X3DKLSZ_2024-12-02_AUTOMATIC,Resisting Mr. Kane: An Age Gap Office Romance (The London Mister Series Book 2)
B09X4PVC6F_2025-01-12_AUTOMATIC,Mile High (Windy City Series Book 1)
B09X4PVC6F_2025-01-12_MANUAL,Mile High (Windy City Series Book 1)
B09X6HZ4FT_2024-04-23_AUTOMATIC,Royally Not Ready: A Royal Romance Duet (Not Really Royal Book 1)
B09X6KD3CS_2024-02-27_AUTOMATIC,So Not Meant To Be
B09Z7BYZS3_2024-04-01_AUTOMATIC,Radiant Sin: A Darkly Hot Modern Retelling of Apollo and Cassandra (Dark Olympus Book 4)
B09Z9K12P2_2024-10-14_AUTOMATIC,God of Malice: A Dark College Romance (Legacy of Gods Book 1)
B0B1KVSRCL_2024-03-22_AUTOMATIC,"Reluctantly Yours: A steamy, enemies to lovers, fake dating romantic comedy"
B0B232HFC9_2024-02-25_AUTOMATIC,"Paint Me Perfect (Real Life, Real Love)"
B0B2L6CBXQ_2025-01-14_AUTOMATIC,The Right Move (Windy City Series Book 2)
B0B2L6CBXQ_2025-01-14_MANUAL,The Right Move (Windy City Series Book 2)
B0B33WTCMT_2024-09-20_AUTOMATIC,The Bachelor (The Dalton Family Book 5)
B0B36FKPS8_2024-05-16_AUTOMATIC,King of Wrath (Kings of Sin Book 1)
B0B4F9G5JD_2025-03-30_AUTOMATIC,Gold (The Plated Prisoner Series Book 5)
B0B4F9G5JD_2025-03-30_MANUAL,Gold (The Plated Prisoner Series Book 5)
B0B4KR2X87_2025-02-08_AUTOMATIC,Heartless: A Small Town Single Dad Romance
B0B4KR2X87_2025-02-08_MANUAL,Heartless: A Small Town Single Dad Romance
B0B5NMN9XQ_2024-10-28_AUTOMATIC,Too Much : Hayes Brothers Book 1
B0B64FCB23_2024-10-16_AUTOMATIC,God of Pain: A Grumpy Sunshine College Romance (Legacy of Gods Book 2)
B0B6D9FY3V_2025-09-09_MANUAL,Not Available
B0B6PRL9H5_2025-04-06_AUTOMATIC,Play With Me (Playing For Keeps Book 2)
B0B6PRL9H5_2025-04-06_MANUAL,Play With Me (Playing For Keeps Book 2)
B0B6SZZDTP_2025-04-27_MANUAL,Reverse (The Bittersweet Symphony Duet Book 2)
B0B6V8WKN5_2024-08-15_AUTOMATIC,Forget Me Not
B0B7B2G4TD_2024-08-02_AUTOMATIC,The Love of My Next Life: Next Life Duet Book 1
B0B7L29TB7_2024-04-26_AUTOMATIC,Happy Place
B0B83315PM_2024-08-15_AUTOMATIC,Final Offer (Dreamland Billionaires Book 3)
B0B89YQFNX_2024-04-24_AUTOMATIC,Royally In Trouble: A Royal Romance Duet (Not Really Royal Book 2)
B0B8YVRMW4_2024-07-25_AUTOMATIC,Yours Truly
B0B9KVDK8P_2024-04-28_AUTOMATIC,Hello Stranger: A Novel
B0B9TBGC5X_2025-07-16_AUTOMATIC,The Wrong Bride: Ares and Raven's Story (The Windsors)
B0B9TBGC5X_2025-07-16_MANUAL,The Wrong Bride: Ares and Raven's Story (The Windsors)
B0BBB7VQFM_2024-12-02_AUTOMATIC,Fighting Mr. Knight: A Billionaire Office Romance (The London Mister Series Book 3)
B0BC16PP4Z_2024-03-28_AUTOMATIC,Miles Ever After (Miles High Series)
B0BCWZHGW6_2024-08-19_AUTOMATIC,Highest Bidder (Salacious Players' Club)
B0BCZWC3QZ_2024-03-27_AUTOMATIC,To Make Matters Worse
