created_timestamp,preferred_marketplace,country,device_family,ASIN,Lookup Card Display Reason,Lookup Card Type,Lookup Card Action Taken,card_position,Lookup Card Lookup Result,Dictionary ASIN,Source Language,Destination Language
2024-03-04T17:03:37Z,US,,Kindle for iOS,B09NJBVM8Z,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-16T15:17:33Z,US,,Kindle for iOS,B01M04PNMH,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-15T09:22:07Z,US,,Kindle for iOS,B07XQK3SGQ,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-06T03:41:06Z,US,,Kindle for iOS,B07C7N5CBS,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-09T20:13:50Z,US,,Kindle for iOS,B07WJ2X243,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-04-05T13:13:53Z,US,,Kindle for iOS,B008WOTQGU,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-01T17:56:45Z,US,,Kindle for iOS,B0994RZ2L1,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-25T02:45:05Z,US,,Kindle for iOS,B09S1CMMBT,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-12T05:43:20Z,US,,Kindle for iOS,B09P5GT746,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-25T21:09:46Z,US,,Kindle for iOS,B0B232HFC9,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
