"Product Name","ASIN","Genre"
"Scythe & Sparrow: The Ruinous Love Trilogy, Book 3","B0D7MYFB42","Literature & Fiction"
"Unstitch (Alchemy Book 5)","B0CKBX1G7X","Romance"
"Unstitch (Alchemy Book 5)","B0CKBX1G7X","Literature & Fiction"
"Unveil: A Hot Age Gap, Billionaire Romance (Alchemy Book 3)","B0C3B5MXTS","Romance"
"Unveil: A Hot Age Gap, Billionaire Romance (Alchemy Book 3)","B0C3B5MXTS","Literature & Fiction"
"Untether (Alchemy Book 4)","B0CFYJWMTR","Romance"
"Untether (Alchemy Book 4)","B0CFYJWMTR","Literature & Fiction"
"Unbind (Alchemy Book 6)","B0CTCQ6MM4","Romance"
"Unbind (Alchemy Book 6)","B0CTCQ6MM4","Literature & Fiction"
"Always Alchemy: The Ever After Book","B0CTCQDVJL","Romance"
"Always Alchemy: The Ever After Book","B0CTCQDVJL","Literature & Fiction"
"Temptation (The Hunted Series Book 1)","B00VVG6LMI","Romance"
"Addiction (The Hunted Series Book 2)","B017T5CJWA","Romance"
"Misdirected","B0DPQ62DJF","Romance"
"Always a Bridesmaid","B0DTLXHDZ2","Romance"
"House of Flame and Shadow: Crescent City, Book 3","B0CGSGXB8Y","Science Fiction & Fantasy"
"House of Flame and Shadow: Crescent City, Book 3","B0CGSGXB8Y","Romance"
"House of Sky and Breath: Crescent City, Book 2","B09MZNTZ54","Science Fiction & Fantasy"
"House of Sky and Breath: Crescent City, Book 2","B09MZNTZ54","Romance"
"House of Earth and Blood: Crescent City, Book 1","B082YHJS14","Science Fiction & Fantasy"
"House of Earth and Blood: Crescent City, Book 1","B082YHJS14","Romance"
"Onyx Storm (The Empyrean Book 3)","B0CW1FKFB9","Science Fiction & Fantasy"
"Onyx Storm (The Empyrean Book 3)","B0CW1FKFB9","Romance"
"Reframing the Path to School Leadership: A Guide for Teachers and Principals","B07HQQWJ9Q","Education & Teaching"
"Unfurl: A Hot Age Gap Romance (Alchemy Book 1)","B0BSNRZSRF","Romance"
"Unfurl: A Hot Age Gap Romance (Alchemy Book 1)","B0BSNRZSRF","Literature & Fiction"
"Undulate: A Hot Age Gap, Single Dad Romance (Alchemy Book 2)","B0BXXH97JF","Romance"
"Undulate: A Hot Age Gap, Single Dad Romance (Alchemy Book 2)","B0BXXH97JF","Literature & Fiction"
"Play Along (Windy City Series Book 4)","B0CKH896T8","Romance"
"Just for the Summer","B0CDWHN8FK","Romance"
"Just for the Summer","B0CDWHN8FK","Literature & Fiction"
"Swallow Your Pride: A Forbidden Age Gap Romance (The Carlson Brothers)","B0C3SNCRXM","Romance"
"Mile High (Windy City Series Book 1)","B09X4PVC6F","Romance"
"The Right Move (Windy City Series Book 2)","B0B2L6CBXQ","Romance"
"Caught Up (Windy City Book 3) (Windy City Series)","B0CKRXNDCF","Romance"
"Funny Story","B0CCNBRNRQ","Romance"
"Funny Story","B0CCNBRNRQ","Literature & Fiction"
"Variation: A Novel","B0D1LJ5DG6","Romance"
"Variation: A Novel","B0D1LJ5DG6","Literature & Fiction"
"Variation: A Novel","B0CZ9VJV5F","Romance"
"Variation: A Novel","B0CZ9VJV5F","Literature & Fiction"
"Saving 6 (Boys of Tommen Book 3)","B0C453T7BV","Romance"
"Saving 6 (Boys of Tommen Book 3)","B0C453T7BV","Literature & Fiction"
"Redeeming 6 (Boys of Tommen Book 4)","B0C451CF7Z","Romance"
"Redeeming 6 (Boys of Tommen Book 4)","B0C451CF7Z","Literature & Fiction"
"Highest Bidder","B0872K48RW","Romance"
"Highest Bidder","B0872K48RW","Literature & Fiction"
"Theirs for the Night: (A MMF Romance) (Twisted Hearts)","B07DJPWWZT","Literature & Fiction"
"Forever Theirs: (A MMF Romance) (Twisted Hearts Book 1)","B07DP7HT14","Romance"
"Trick Shot: A Spicy Christmas Novella (Brother Puckers Book 1)","B0CK55PS1P","Romance"
"Trick Shot: A Spicy Christmas Novella (Brother Puckers Book 1)","B0CK55PS1P","Literature & Fiction"
"Butterfly: A dark college hockey romance (Tabb U Book 1)","B0D2PFVNXV","Romance"
"Butterfly: A dark college hockey romance (Tabb U Book 1)","B0D2PFVNXV","Literature & Fiction"
"Bound (Highest Bidder Book 5)","B0BNQV7L3T","Romance"
"Bound (Highest Bidder Book 5)","B0BNQV7L3T","Literature & Fiction"
"Kingdom of Ash","B07J66Q8BM","Science Fiction & Fantasy"
"Kingdom of Ash","B07J66Q8BM","Teen & Young Adult"
"Kingdom of Ash","B07J66Q8BM","Romance"
"House of Sky and Breath (Crescent City)","B093WB84G1","Science Fiction & Fantasy"
"House of Sky and Breath (Crescent City)","B093WB84G1","Romance"
"House of Earth and Blood (Crescent City Book 1)","B07QBC8QTP","Science Fiction & Fantasy"
"House of Earth and Blood (Crescent City Book 1)","B07QBC8QTP","Romance"
"House of Flame and Shadow (Crescent City)","B0BY9M2C4X","Science Fiction & Fantasy"
"House of Flame and Shadow (Crescent City)","B0BY9M2C4X","Romance"
"Tower of Dawn","B0759XMXLV","Science Fiction & Fantasy"
"Tower of Dawn","B0759XMXLV","Teen & Young Adult"
"Tower of Dawn","B0759XMXLV","Romance"
"Empire of Storms","B01KIQV5EU","Science Fiction & Fantasy"
"Empire of Storms","B01KIQV5EU","Teen & Young Adult"
"Empire of Storms","B01KIQV5EU","Romance"
"Cruel Winter with You: Under the Mistletoe Collection","B0DKK242GB","Romance"
"Merry Ever After: Under the Mistletoe Collection","B0DKK3382L","Romance"
"Merry Ever After: Under the Mistletoe Collection","B0DKK3382L","Literature & Fiction"
"Merriment and Mayhem: Under the Mistletoe Collection","B0DKK47K33","Romance"
"Only Santas in the Building: Under the Mistletoe Collection","B0DKK2X9ZX","Romance"
"Only Santas in the Building: Under the Mistletoe Collection","B0DKK2X9ZX","Literature & Fiction"
"All by My Elf: Under the Mistletoe Collection","B0DKK2KLKW","Romance"
"All by My Elf: Under the Mistletoe Collection","B0DKK2KLKW","Literature & Fiction"
"Cruel Winter with You (Under the Mistletoe collection)","B0D9KNVB11","Romance"
"Merry Ever After (Under the Mistletoe collection)","B0D9KL14L4","Romance"
"Merry Ever After (Under the Mistletoe collection)","B0D9KL14L4","Literature & Fiction"
"All by My Elf (Under the Mistletoe collection)","B0D9KJMVRB","Romance"
"All by My Elf (Under the Mistletoe collection)","B0D9KJMVRB","Literature & Fiction"
"Merriment and Mayhem (Under the Mistletoe collection)","B0DH8KCRSL","Romance"
