device_record_time,Device Serial Number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,Amazon Marketplace
2024-04-21T23:29:19Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,599589,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T23:19:19Z,Amazon.com
2024-04-21T23:18:16Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,788567,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T23:05:08Z,Amazon.com
2024-04-21T23:05:08Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,34489,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T23:04:33Z,Amazon.com
2024-04-21T23:05:07Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Ereader,Not Available,Not Available,1,27490,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T23:04:39Z,Amazon.com
2024-04-21T23:04:39Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,7218,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T23:04:32Z,Amazon.com
2024-04-21T23:04:34Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,10515,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T23:04:23Z,Amazon.com
2024-04-21T23:04:24Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,14260,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T23:04:09Z,Amazon.com
2024-04-21T23:04:18Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,5762,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T23:04:12Z,Amazon.com
2024-04-21T23:04:12Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Ereader,Not Available,Not Available,1,815630,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T22:27:35Z,Amazon.com
2024-04-21T21:16:51Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,612257,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T21:06:39Z,Amazon.com
2024-04-21T20:56:32Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,172400,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T20:53:39Z,Amazon.com
2024-04-20T22:28:02Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,26415,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-20T22:27:35Z,Amazon.com
