device_record_time,device serial number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,amazon marketplace
2024-03-30T09:03:50Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,RING,Not Available,Not Available,1,615388,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 21:36:35,Amazon.com
2024-04-07T12:04:27Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,RING,Not Available,Not Available,1,1061585,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-07 00:26:46,Amazon.com
2024-03-31T01:03:10Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,3231,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-31 01:04:06,Amazon.com
2024-03-30T09:03:58Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,10529,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 21:48:47,Amazon.com
2024-03-30T09:03:50Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,615388,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 21:36:35,Amazon.com
2024-04-06T04:04:53Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Tablet,Not Available,Not Available,1,5708118,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-06 15:15:45,Amazon.com
2024-04-07T05:04:47Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Ereader,Not Available,Not Available,1,21611,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-07 17:52:25,Amazon.com
2024-04-07T05:04:00Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,RING,Not Available,Not Available,1,4202,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-07 17:52:56,Amazon.com
2024-03-30T07:03:10Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Tablet,Not Available,Not Available,1,3944,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 19:47:06,Amazon.com
2024-04-06T02:04:16Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,RING,Not Available,Not Available,1,4978,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-06 02:19:11,Amazon.com
2024-03-31T02:03:39Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Not Available,Not Available,Not Available,1,5444408,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-31 13:11:55,Amazon.com
2024-03-30T01:03:34Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,8810,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 01:44:25,Amazon.com
2024-04-08T02:04:34Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,RING,Not Available,Not Available,1,181736,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-08 14:06:24,Amazon.com
2024-04-08T02:04:24Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Tablet,Not Available,Not Available,1,30131,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-08 02:49:20,Amazon.com
2024-04-02T01:04:21Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Tablet,Not Available,Not Available,1,7187,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-02 01:26:14,Amazon.com
2024-04-06T02:04:11Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Ereader,Not Available,Not Available,1,12535,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-06 02:17:58,Amazon.com
2024-04-08T12:04:06Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,RING,Not Available,Not Available,1,6440142,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-07 22:51:46,Amazon.com
2024-03-30T01:03:40Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Audio,Not Available,Not Available,1,5372,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 01:44:35,Amazon.com
2024-03-29T02:03:18Z,G8S1LG134041039L,United States,com.lab126.booklet.discovery,UNKNOWN,0,Audio,Not Available,Not Available,1,22875,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-29 02:46:55,Amazon.com
