created_timestamp,country,preferred_marketplace,device_family,active_ASIN,books_series_count,max_books_series_size,books_series_grouping_setting
2024-03-29T02:40:55Z,Not Available,US,Kindle for iOS,B0CYWDS6CT,4,5,seriesGroupingEnabled
2024-03-09T06:28:32Z,Not Available,US,Kindle for iOS,B01D6TA9Y8,2,2,seriesGroupingEnabled
2024-02-26T13:39:36Z,Not Available,US,Kindle for iOS,B09X6KD3CS,2,2,seriesGroupingEnabled
2024-03-18T03:14:13Z,Not Available,US,Kindle for iOS,B01N7KLCRR,3,3,seriesGroupingEnabled
2024-03-27T22:42:57Z,Not Available,US,Kindle for iOS,B09ZKRWCG4,4,5,seriesGroupingEnabled
2024-03-30T00:47:10Z,Not Available,US,Kindle for iOS,B07ZFZZ2GQ,4,5,seriesGroupingEnabled
2024-02-25T14:34:05Z,Not Available,US,Kindle for iOS,Not Available,1,2,seriesGroupingEnabled
2024-03-19T09:14:12Z,Not Available,US,Kindle for iOS,B008UCJ7KO,4,5,seriesGroupingEnabled
2024-03-20T21:39:15Z,Not Available,US,Kindle for iOS,B00NEQRNVG,4,5,seriesGroupingEnabled
2024-03-10T18:51:58Z,Not Available,US,Kindle for iOS,Not Available,3,2,seriesGroupingEnabled
2024-03-26T01:48:35Z,Not Available,US,Kindle for iOS,B07Y82JMF8,4,5,seriesGroupingEnabled
2024-03-27T01:57:59Z,Not Available,US,Kindle for iOS,B083GY7J9P,4,5,seriesGroupingEnabled
2024-02-24T20:30:31Z,Not Available,US,Kindle for iOS,B09CNFRZDC,1,2,seriesGroupingEnabled
2024-03-03T09:11:05Z,Not Available,US,Kindle for iOS,B01MST9RU9,1,2,seriesGroupingEnabled
2024-03-22T02:55:20Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-03-18T03:14:17Z,Not Available,US,Kindle for iOS,B01N7KLCRR,3,3,seriesGroupingEnabled
2024-03-03T09:11:00Z,Not Available,US,Kindle for iOS,B01MST9RU9,1,2,seriesGroupingEnabled
2024-03-03T09:10:56Z,Not Available,US,Kindle for iOS,B01MST9RU9,1,2,seriesGroupingEnabled
2024-03-11T07:13:59Z,Not Available,US,Kindle for iOS,Not Available,3,6,seriesGroupingEnabled
2024-04-04T19:08:06Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-22T14:31:15Z,Not Available,US,Mac,Not Available,4,5,seriesGroupingEnabled
2024-03-08T19:56:22Z,Not Available,US,Mac,Not Available,2,2,seriesGroupingEnabled
2024-03-08T19:04:09Z,Not Available,US,Kindle for iOS,Not Available,2,2,seriesGroupingEnabled
2024-03-17T17:09:34Z,Not Available,US,Kindle for iOS,B0757CRTLY,4,4,seriesGroupingEnabled
2024-03-13T13:43:51Z,Not Available,US,Kindle for iOS,B08266PLCC,3,4,seriesGroupingEnabled
2024-03-18T03:14:21Z,Not Available,US,Kindle for iOS,B01N7KLCRR,3,3,seriesGroupingEnabled
2024-03-14T21:50:13Z,Not Available,US,Kindle for iOS,Not Available,3,4,seriesGroupingEnabled
2024-03-04T03:38:55Z,Not Available,US,Kindle for iOS,B01MYYEYWP,2,3,seriesGroupingEnabled
2024-04-08T02:04:58Z,Not Available,US,Kindle for iOS,Not Available,5,5,seriesGroupingEnabled
2024-03-05T16:16:42Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-03-03T07:07:54Z,Not Available,US,Kindle for iOS,Not Available,3,4,seriesGroupingEnabled
2024-02-27T12:13:27Z,Not Available,US,Kindle for iOS,Not Available,2,2,seriesGroupingEnabled
2024-04-07T02:40:41Z,Not Available,US,Kindle for iOS,Not Available,5,5,seriesGroupingEnabled
2024-03-08T18:52:30Z,Not Available,US,Mac,Not Available,2,2,seriesGroupingEnabled
2024-03-14T11:11:41Z,Not Available,US,Kindle for iOS,B0CL7L1Y9X,3,4,seriesGroupingEnabled
2024-02-27T02:33:49Z,Not Available,US,Kindle for iOS,B09X6KD3CS,2,2,seriesGroupingEnabled
2024-02-29T02:31:34Z,Not Available,US,Kindle for iOS,Not Available,2,2,seriesGroupingEnabled
2024-03-28T11:15:45Z,Not Available,US,Kindle for iOS,B0CYWDS6CT,4,5,seriesGroupingEnabled
2024-03-16T08:52:27Z,Not Available,US,Kindle for iOS,B017S3J3X6,3,3,seriesGroupingEnabled
2024-04-02T11:08:13Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-07T05:10:14Z,Not Available,US,Kindle for iOS,B083TZV25B,3,5,seriesGroupingEnabled
2024-03-17T10:08:04Z,Not Available,US,Kindle for iOS,B0757CRTLY,4,4,seriesGroupingEnabled
2024-03-16T20:54:49Z,Not Available,US,Kindle for iOS,B01M04PNMH,4,3,seriesGroupingEnabled
2024-03-11T07:08:39Z,Not Available,US,Kindle for iOS,Not Available,3,2,seriesGroupingEnabled
2024-03-11T07:04:27Z,Not Available,US,Kindle for iOS,Not Available,3,2,seriesGroupingEnabled
2024-04-06T01:57:14Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-04-05T23:29:15Z,Not Available,US,Kindle for iOS,B00AXIZ5MC,5,5,seriesGroupingEnabled
2024-03-08T09:59:47Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-03-29T02:55:10Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-16T08:52:18Z,Not Available,US,Kindle for iOS,B017S3J3X6,3,3,seriesGroupingEnabled
2024-03-13T19:41:02Z,Not Available,US,Kindle for iOS,B08266SRVP,4,4,seriesGroupingEnabled
2024-04-07T02:40:37Z,Not Available,US,Kindle for iOS,Not Available,5,5,seriesGroupingEnabled
2024-03-25T08:31:16Z,Not Available,US,Kindle for iOS,B00V3MY186,4,5,seriesGroupingEnabled
2024-04-13T12:40:15Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-13T13:43:45Z,Not Available,US,Kindle for iOS,B08266PLCC,3,4,seriesGroupingEnabled
2024-02-24T02:54:16Z,Not Available,US,Kindle for iOS,Not Available,1,2,seriesGroupingEnabled
2024-03-16T13:57:47Z,Not Available,US,Kindle for iOS,B01BU2NFTO,4,3,seriesGroupingEnabled
2024-03-09T16:37:40Z,Not Available,US,Kindle for iOS,B07WJ2X243,3,2,seriesGroupingEnabled
2024-04-03T06:19:35Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-02-24T03:08:28Z,Not Available,US,Kindle for iOS,Not Available,1,2,seriesGroupingEnabled
2024-03-07T20:09:04Z,Not Available,US,Mac,Not Available,3,5,seriesGroupingEnabled
2024-03-08T17:07:02Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-03-18T04:00:21Z,Not Available,US,Kindle for iOS,Not Available,3,3,seriesGroupingEnabled
2024-04-08T22:33:39Z,Not Available,US,Kindle for iOS,B00QE1DLIC,6,5,seriesGroupingEnabled
2024-03-11T07:13:55Z,Not Available,US,Kindle for iOS,Not Available,3,6,seriesGroupingEnabled
2024-03-07T20:09:05Z,Not Available,US,Mac,Not Available,3,5,seriesGroupingEnabled
2024-03-13T19:40:46Z,Not Available,US,Kindle for iOS,B08266V1T2,4,4,seriesGroupingEnabled
2024-03-01T12:13:44Z,Not Available,US,Kindle for iOS,B091SLLP6H,3,2,seriesGroupingEnabled
2024-03-11T20:39:06Z,Not Available,US,Kindle for iOS,Not Available,3,6,seriesGroupingEnabled
2024-03-29T13:58:07Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-04-14T00:33:53Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-01T03:47:10Z,Not Available,US,Kindle for iOS,B091SLLP6H,3,2,seriesGroupingEnabled
2024-04-01T18:27:17Z,Not Available,US,Kindle for iOS,B09Z7BYZS3,4,5,seriesGroupingEnabled
2024-03-20T16:37:53Z,Not Available,US,Kindle for iOS,B00NEQRNVG,4,5,seriesGroupingEnabled
2024-03-11T07:14:03Z,Not Available,US,Kindle for iOS,Not Available,3,6,seriesGroupingEnabled
2024-04-14T16:01:35Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-18T21:41:00Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-04-07T03:06:46Z,Not Available,US,Kindle for iOS,Not Available,5,5,seriesGroupingEnabled
2024-03-15T02:53:58Z,Not Available,US,Kindle for iOS,Not Available,3,4,seriesGroupingEnabled
2024-04-08T22:33:31Z,Not Available,US,Kindle for iOS,Not Available,6,5,seriesGroupingEnabled
2024-03-30T17:15:53Z,Not Available,US,Kindle for iOS,B09DTJF1WD,4,5,seriesGroupingEnabled
2024-03-25T00:43:55Z,Not Available,US,Kindle for iOS,B00V3MY1GS,4,5,seriesGroupingEnabled
2024-03-02T02:29:23Z,Not Available,US,Kindle for iOS,B0994RZ2L1,3,3,seriesGroupingEnabled
2024-03-03T09:11:13Z,Not Available,US,Kindle for iOS,B01MST9RU9,1,2,seriesGroupingEnabled
2024-03-08T19:04:15Z,Not Available,US,Kindle for iOS,B0B1KVSRCL,2,2,seriesGroupingEnabled
2024-03-13T19:40:50Z,Not Available,US,Kindle for iOS,B08266SRVP,4,4,seriesGroupingEnabled
2024-03-22T09:23:54Z,Not Available,US,Kindle for iOS,B0B1KVSRCL,3,5,seriesGroupingEnabled
2024-03-08T18:52:25Z,Not Available,US,Mac,Not Available,2,2,seriesGroupingEnabled
2024-03-03T09:11:16Z,Not Available,US,Kindle for iOS,B01MST9RU9,1,2,seriesGroupingEnabled
2024-03-03T09:11:02Z,Not Available,US,Kindle for iOS,B01MST9RU9,1,2,seriesGroupingEnabled
