created_timestamp,preferred_marketplace,country,device_family,ASIN,prev_state,curr_state
2024-04-14T02:51:19Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T21:37:45Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-03T02:52:36Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-13T16:19:05Z,US,US,Kindle E-reader,B0778CV9Y4,SCREEN SAVER,ACTIVE
2024-04-06T15:02:34Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-07T20:02:54Z,US,US,Kindle E-reader,B00N6PD7L0,SCREEN SAVER,ACTIVE
2024-04-13T08:32:16Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-03-30T02:05:42Z,US,US,Kindle E-reader,B07ZFZZ2GQ,SCREEN SAVER,ACTIVE
2024-04-07T22:51:46Z,US,US,Kindle E-reader,B00N6PD7L0,SCREEN SAVER,ACTIVE
2024-04-07T19:54:27Z,US,US,Kindle E-reader,B00N6PD7L0,ACTIVE,SCREEN SAVER
2024-04-13T16:12:29Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-04T03:11:14Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-09T08:32:10Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-02T04:28:54Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-15T00:54:18Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-07T20:14:58Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-07T01:47:07Z,US,US,Kindle E-reader,B00O6V45E6,ACTIVE,SCREEN SAVER
2024-04-05T02:52:33Z,US,US,Kindle E-reader,B008WOTQGU,SCREEN SAVER,ACTIVE
2024-03-31T08:34:50Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-06T02:17:58Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-10T02:52:37Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-08T23:52:49Z,US,US,Kindle E-reader,B00QE1DLIC,SCREEN SAVER,ACTIVE
2024-04-08T22:37:57Z,US,US,Kindle E-reader,B00O6V45CS,SCREEN SAVER,ACTIVE
2024-04-07T17:52:21Z,US,US,Kindle E-reader,B00O6V45E6,SCREEN SAVER,ACTIVE
2024-03-31T20:44:51Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-02T08:34:09Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-08T18:03:07Z,US,US,Kindle E-reader,B00O6V45CS,SCREEN SAVER,ACTIVE
2024-03-31T03:21:51Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-07T03:51:40Z,US,US,Kindle E-reader,B00O6V45E6,ACTIVE,SCREEN SAVER
2024-04-13T13:15:01Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
