Creation Date,ASIN,Product Name,Browse Node,StoreUrl,Device Platform,Display Status
2025-06-03T17:16:20Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",http://www.amazon.com/b?ie=UTF8&node=117361362011&ref_=abptr_srm_ed_botysf_kp,"""IOS""","""Kindle App Notification Sent"""
2025-06-02T14:38:38Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/02e198e3-bcfe-46a3-a4db-3ad34e63dcf6?ref=kc-sp-june-cp,"""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-01T17:52:48Z,B0D6RK91Q8,The Surfacing (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless,"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless,"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless,"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-05-31T17:28:17Z,B07B4V3Y51,Merciless (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
