created_timestamp,preferred_marketplace,country,device_family,ASIN,action_performed,alert_type,desired_page_location
2024-04-21T10:09:26Z,www.amazon.com,Not Available,Kindle for iOS,B01N9F5IOL,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-07-09T03:31:34Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-02-19T14:57:35Z,www.amazon.com,Not Available,Kindle for iOS,B0DD357DWQ,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-07-09T12:25:16Z,www.amazon.com,Not Available,Kindle for iOS,B09F6SYVBR,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-02-26T16:27:30Z,www.amazon.com,Not Available,,B0DDKHNVWF,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-05-09T19:43:10Z,www.amazon.com,Not Available,Kindle for iOS,B00P2RBHPS,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-14T16:02:07Z,www.amazon.com,Not Available,Kindle for iOS,B0778CV9Y4,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-07-11T04:34:11Z,www.amazon.com,Not Available,Kindle for iOS,B09GL14D21,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-04-21T15:36:22Z,www.amazon.com,Not Available,,B0D9CC3C9Y,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-01-08T19:09:09Z,www.amazon.com,Not Available,Kindle for iOS,B079JYG6D4,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-07-09T12:38:23Z,www.amazon.com,Not Available,Kindle for iOS,B09F6SYVBR,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-05-09T15:55:15Z,www.amazon.com,Not Available,,B00P2RBHPS,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-05-13T14:41:59Z,www.amazon.com,Not Available,Kindle for iOS,B0188332MI,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-08-22T16:10:23Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-08-23T15:09:53Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-10-05T22:31:07Z,www.amazon.com,Not Available,Kindle for iOS,B0DCG89SDJ,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-05-15T19:24:13Z,www.amazon.com,Not Available,Kindle for iOS,B01FWXWOV2,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-08-07T23:12:34Z,www.amazon.com,Not Available,Kindle for iOS,B087WWR8YT,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
