campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2024-04-10T02:50:39.018Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B01LWVWGZW,1,1
2024-04-02T01:27:10.256Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-03-29T02:52:59.711Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,1,2
2024-04-08T02:04:48.690Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,3
2024-04-10T02:50:38.605Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B01LWVWGZW,1,1
2024-04-15T00:45:52.574Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-06T20:21:27.827Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B00FO60CH6,1,2
2024-04-08T02:04:48.737Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,4
2024-04-08T02:04:48.767Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,5
2024-04-13T16:12:29.234Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-07T17:52:46.183Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-03-29T02:46:04.767Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,2,3
2024-04-08T02:04:49.485Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,3,8
2024-03-29T02:45:58.889Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,3,7
2024-04-02T01:26:16.715Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-08T22:50:36.681Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B00QE1DLIC,1,1
