created_timestamp,preferred_marketplace,country,device_family,ASIN,Reading Customization Setting Changed,Previous Setting Value,Setting New Value
2025-07-23T03:08:16Z,www.amazon.com,,Kindle for iOS,B0CTXVHQW6,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-07-28T02:17:01Z,www.amazon.com,,Kindle for iOS,B0CW1J839S,Reading Progress Currently Displayed Option,Current Location,Time Left In Chapter
2025-09-04T01:42:17Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-10-04T22:16:26Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-08-01T22:56:43Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-08-18T01:21:06Z,www.amazon.com,,Kindle for iOS,B0CQKGZL6K,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-07-28T23:12:02Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-08-31T01:06:09Z,www.amazon.com,,Kindle for iOS,B0DB2L4TWY,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-10-05T20:34:07Z,www.amazon.com,US,Kindle for Android,Not Available,In Book Orientation Lock,Off,Off
2025-10-05T21:03:50Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Automatic Screen Brightness,Off,On
2025-09-25T17:09:58Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-08-23T22:29:34Z,www.amazon.com,,Kindle for iOS,B0D7ZVQG2N,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-10-05T20:34:07Z,www.amazon.com,US,Kindle for Android,Not Available,ContinuousScrollingSwitch,Off,Off
2025-07-26T23:25:53Z,www.amazon.com,,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-09-11T23:31:17Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-09-10T03:31:13Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-10-05T20:36:04Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,ContinuousScrollingSwitch,Off,On
2025-08-21T19:34:49Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-08-09T01:13:09Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-07-24T10:40:12Z,www.amazon.com,,Kindle for iOS,B0F45JL25S,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-10-05T20:34:07Z,www.amazon.com,US,Kindle for Android,Not Available,SwipeAndScrollingSwitch,Off,Off
2025-10-05T21:03:40Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Font Size Value Point,3,7
2025-10-05T20:34:07Z,www.amazon.com,US,Kindle for Android,Not Available,Multiple Columns Display,Double Column Layout,Single Column Layout
2025-07-26T20:22:17Z,www.amazon.com,,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-10-05T20:34:07Z,www.amazon.com,US,Kindle for Android,Not Available,Page Margin Mode,Medium,Medium
2025-08-22T01:07:11Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-09-14T17:09:50Z,www.amazon.com,,Kindle for iOS,B0DWSZPM62,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-10-01T03:11:31Z,www.amazon.com,,Kindle for iOS,B0CFDCMPVC,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-07-27T05:28:50Z,www.amazon.com,,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-09-28T13:38:45Z,www.amazon.com,,Kindle for iOS,B09DLCLRK4,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-08-16T21:16:05Z,www.amazon.com,,Kindle for iOS,B0CZP7QV5D,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-07-30T13:56:17Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Current Location,Time Left In Chapter
2025-09-12T07:08:08Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-08-26T22:39:30Z,www.amazon.com,,Kindle for iOS,B003VPWY64,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-10-06T00:03:02Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-09-21T23:03:52Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-10-06T23:40:06Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-10-05T21:03:43Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Font Size Value Point,7,4
2025-08-23T22:29:34Z,www.amazon.com,,Kindle for iOS,B0D7ZVQG2N,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-07-31T23:32:42Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-09-06T00:32:31Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-09-29T05:19:05Z,www.amazon.com,,Kindle for iOS,B09QD52KWF,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-09-07T19:17:36Z,www.amazon.com,,Kindle for iOS,5DE54701F9AB457893A2E196F7E4F894,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-09-11T23:35:30Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Reading Progress Currently Displayed Option,Current Location,Time Left In Chapter
2025-08-18T01:21:06Z,www.amazon.com,,Kindle for iOS,B0CQKGZL6K,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-10-05T20:34:07Z,www.amazon.com,US,Kindle for Android,Not Available,TurnPagesWithVolumeControlsSwitch,Off,Off
2025-09-26T18:05:43Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-10-06T02:38:23Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-10-06T02:23:12Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Font Size Value Point,6,7
2025-10-05T21:04:45Z,www.amazon.com,US,Kindle for Android,B0DCG89SDJ,Font Face,Bookerly,Amazon Ember Bold
2025-09-19T01:40:46Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-08-16T21:16:06Z,www.amazon.com,,Kindle for iOS,B0CZP7QV5D,Reading Progress Currently Displayed Option,Time Left In Book,Current Page Number
2025-10-05T21:04:40Z,www.amazon.com,,Kindle for iOS,B0DCG89SDJ,TextSpacing,Hide Reading Progress Display,opened
2025-09-04T23:07:54Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Reading Progress Currently Displayed Option,Time Left In Chapter,Time Left In Book
2025-09-26T11:20:06Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
2025-07-29T14:05:06Z,www.amazon.com,,Kindle for iOS,75138A0188C24E0CB2340EECDBF7A111,Reading Progress Currently Displayed Option,Current Page Number,Time Left In Chapter
