Created Time,Preferred Marketplace,Country,Device Family,ASIN,Search Query,Search ID,Spell Corrected Keyword,Search Suggestions,Search Keyword Before Suggestion,Search Suggestion Selected Position,Refinements,Search Session ID,Is Device Offline,Search Entry Location,Personal Information Type Detected,Refinements Before Search
2024-04-14T23:55:16Z,US,Not Available,Kindle for iOS,Not Available,bromance book club,D25B566D-74C3-439F-AC5E-46AC342B84CB,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,ED32617B-4C0A-4310-9012-C0652FF64461,No,Home,No Data,"store, library||SortByRelevance"
2024-03-22T02:39:25Z,US,Not Available,Kindle for iOS,Not Available,afterburn aftershock,343E644E-7F4E-4C44-B885-46002E502F90,Not Applicable,afterburn aftershock,afterburn sftershock,1,||,90A388E4-6D61-4ACA-8ADD-12A6B97015D5,No,Home,No Data,"store, library||SortByRelevance"
2024-02-26T00:02:40Z,US,Not Available,Kindle for iOS,Not Available,beautiful bastard,FC25841C-95D6-4910-97DE-CC2F341F50C3,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library||",49783150-F60F-430F-B7F7-98715FD9EBDC,No,Home,No Data,||SortByRelevance
2024-03-08T09:59:31Z,US,Not Available,Kindle for iOS,Not Available,part time husband,A0A677B5-424D-488A-B4D0-CCA56094DA6B,Not Applicable,part time husband|part time gods|part time indian|part time intermittent fasting|part time monster hunter|part time,part ti,1,||,2548C7E1-610B-4DF7-BC35-0C55B6537288,No,Home,No Data,"store, library||SortByRelevance"
2024-04-09T18:53:20Z,US,Not Available,Kindle for iOS,Not Available,deepest kiss,D18BA7AA-15DA-4E7E-9A9B-BD1C6BC554D5,Not Applicable,deepest kiss j kenner|deepest kiss,Not Applicable,Not Selected,||,1E9053D7-A0A8-497E-BAFE-8AD5B60F6DBF,No,Home,No Data,"store, library||SortByRelevance"
2024-03-28T02:33:49Z,US,Not Available,Kindle for iOS,Not Available,katee robert,D8F1033F-680B-4F93-8EFE-D1C6AFA1F6E2,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|KindleUnlimited|",808B5A1C-ACFA-4CA9-8ECE-129AEEFD7C7F,No,Home,No Data,||SortByRelevance
2024-03-27T03:01:56Z,US,Not Available,Kindle for iOS,Not Available,king of wrath ana huang,A22FDE96-CC1F-498C-B419-7A132C960424,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,2032436F-8BA6-40E6-8C30-497863232B7C,No,Home,No Data,"store, library||SortByRelevance"
2024-03-26T04:28:16Z,US,Not Available,Kindle for iOS,Not Available,to make matters worse by elle rivers,C8E35961-F467-430C-9C21-9BD4E05C2EE3,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,"store, library|Audible|",1E3468CE-E6E6-432C-A250-3C7FE9C536CD,No,Home,No Data,||SortByRelevance
2024-03-03T07:07:47Z,US,Not Available,Kindle for iOS,Not Available,summer otoole,13E34A33-1AEC-4C39-9FC9-FD46603E488B,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,B24C0BEF-B278-471C-9973-E2E4D6F0398C,No,Home,No Data,"store, library||SortByRelevance"
2024-03-22T02:44:38Z,US,Not Available,Kindle for iOS,Not Available,,73720B2A-698D-440A-B861-68A11889D74A,Not Applicable,three simple rules by nikki sloane|three simple rules series|three simple|three simple steps|three simple lines|three simple rulesnikki sloane,three simple,1,||,B89A0714-12AC-40C0-930F-AF48D7156B04,No,Home,No Data,"store, library||SortByRelevance"
