"Product Name","ASIN","Author ID"
"Long Way Down (Addicted Series)","B0188332MI","B00DEHIAO4"
"Hothouse Flower (Addicted Series)","B00JAXSEFQ","B00464PUBK"
"Hothouse Flower (Addicted Series)","B00JAXSEFQ","B00DEHIAO4"
"Ricochet (Addicted Series)","B00E9BE7TQ","B00464PUBK"
"Ricochet (Addicted Series)","B00E9BE7TQ","B00DEHIAO4"
"Addicted for Now","B00H06NGBM","B00464PUBK"
"Addicted for Now","B00H06NGBM","B00DEHIAO4"
"Kiss the Sky (Addicted Series)","B00HZVPHGE","B00464PUBK"
"Kiss the Sky (Addicted Series)","B00HZVPHGE","B00DEHIAO4"
"Washington: A Life (Pulitzer Prize Winner)","B003ZK58SQ","B000AQ735Y"
"Audacity: A Priest-Turned-Billionaire Workplace Romance (Seraph)","B0D1PC9FHN","B0BSNY8PB3"
"The Home-wrecker (The Goode Brothers)","B0C9KJRSX7","B07Y8SVDN7"
"The Heartbreaker (The Goode Brothers)","B0CYM3ZDK6","B07Y8SVDN7"
"Fragile Sanctuary (Sparrow Falls Book 1)","B0CR1N7YGX","B07FYVGV93"
"Kiss The Villain: A Dark MM Enemies to Lovers Romance","B0DJT283QQ","B07MM54G22"
"Bittersweet Melody : (The Bittersweet Symphony Duet 2.5)","B0BVRT9TRJ","B00GCWS5UM"
"Tryst Six Venom","B09418JQMK","B00DH04U8I"
"Reverse (The Bittersweet Symphony Duet Book 2)","B0B6SZZDTP","B00GCWS5UM"
"Drive (The Bittersweet Symphony Duet Book 1)","B076G47245","B00GCWS5UM"
"Bridesmaid by Chance","B0DCTZPG8V","B00G2PREA6"
"The Dream Guy Next Door","B08MB531QL","B00B5OAC1C"
"One Last Rainy Day: The Legacy of a Prince: The Ravenhood Legacy, Book 1","B0CCZYXD2T","B00GCWS5UM"
"Play With Me (Playing For Keeps Book 2)","B0B6PRL9H5","B09H4WQSJV"
"Unravel Me (Playing For Keeps Book 3)","B0CD2RWNVL","B09H4WQSJV"
"Fall With Me (Playing For Keeps Book 4)","B0CVLJ8816","B09H4WQSJV"
"One Last Rainy Day (Ravenhood Legacy Book 1)","B0D9CC3C9Y","B00GCWS5UM"
"Nocticadia","B0C3426KGW","B006VY7EM6"
"Does It Hurt?: An Enemies to Lovers Romance","B09PKTYKGZ","B07H74G916"
"THAT SIK LUV","B0BSYJCFHD","B0BLCW83BN"
"Beautiful Fiend: A Dark Enemies to Lovers Romance (North Shore Stories Book 1)","B0BYB6DXBY","B08ZNYL4F1"
"A Dose of Pretty Poison: A Brother's Best Friend Romance (Pretty Poison Trilogy Book 1)","B0BVV2TLZD","B07KV5HDPR"
"Lords of Pain (Dark College Bully Romance): Royals of Forsyth University","B08W3RYS26","B0076KRWY4"
"Lords of Pain (Dark College Bully Romance): Royals of Forsyth University","B08W3RYS26","B089KL82FW"
"Bound by Honor (Born in Blood Mafia Chronicles Book 1)","B00PUS8AEK","B00RAF7QMI"
"War of Her Heart","B0DJWGHHX3","B0DQWNB7XM"
"Kingmakers: Year One","B08R9PX3ZL","B07YJ37WK4"
"There Are No Saints (Sinners Duet Book 1)","B09GCC6Y5M","B07YJ37WK4"
"The Charlie Method (Campus Diaries Book 3)","B0CWZ83PGD","B002WHBZOO"
"Quicksilver (Fae & Alchemy Book 1)","B0DDKHNVWF","B00JEI9IYS"
"Consider Me (Playing For Keeps Book 1)","B09QK389GG","B09H4WQSJV"
"The Fall Risk: A Short Story","B0DS2VTD7Y","B07KX5X24Y"
"The Fall Risk: A Short Story","B0DD7X5V3V","B07KX5X24Y"
"Shoot Your Shot: A Fun and Flirty Hockey Romance Between an Athlete and Aspiring Tattoo Artist","B0D46PR72D","B0DPPM8NFM"
"Ice Mechanic: A Small-Town Hockey Romance (Lucky Strikers Hockey Romance)","B0DPLWFDWY","B07C85WZ6H"
