created_timestamp,preferred_marketplace,country_of_residence,device_family,ASIN,audible_immersion_reading_context,audible_immersion_reading_action,book_reading_mode,narration_duration_in_seconds
2024-03-27T02:28:45Z,US,Not Available,Kindle for iOS,B08X472VK3,out_of_app,narration,not_applicable,557
2024-03-20T21:34:04Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,1366
2024-03-20T21:48:30Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,408
2024-03-19T20:33:55Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,314
2024-03-24T05:02:02Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,1595
2024-03-21T14:42:39Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,22
2024-03-21T21:31:30Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,278
2024-03-22T14:54:51Z,US,Not Available,,Not Available,out_of_app,narration,not_applicable,871
2024-03-21T04:50:51Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,43
2024-03-21T03:06:06Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,826
2024-03-07T23:21:03Z,US,Not Available,Kindle for iOS,B083TZV25B,inbook_mini_player,narration,vertical_scroll_view,2269
2024-03-01T23:16:37Z,US,Not Available,Kindle for iOS,B0994RZ2L1,inbook_mini_player,narration,vertical_scroll_view,1340
2024-03-27T03:04:59Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,40
2024-03-22T19:17:41Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,0
2024-03-22T14:32:32Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,29
2024-03-19T21:15:35Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1702
2024-03-19T02:10:41Z,US,Not Available,Kindle for iOS,B008673ZAQ,out_of_app,narration,not_applicable,27
2024-03-21T22:49:10Z,US,Not Available,Kindle for iOS,B0183KJZE0,inbook_mini_player,narration,vertical_scroll_view,2285
2024-03-22T22:02:07Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,57
2024-03-22T20:24:50Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,63
2024-03-20T12:46:21Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,2011
2024-03-20T22:58:39Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,560
2024-03-19T13:05:22Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,322
2024-03-20T13:24:03Z,US,Not Available,Kindle for iOS,B00NEQRNVG,inbook_mini_player,narration,vertical_scroll_view,1993
2024-03-22T14:46:24Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,364
2024-03-19T21:17:29Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,1815
2024-03-21T18:01:13Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,267
2024-03-19T21:18:42Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,1889
2024-03-25T17:27:33Z,US,Not Available,Kindle for iOS,B07Y82JMF8,inbook_mini_player,narration,vertical_scroll_view,146
2024-03-20T21:54:16Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,336
2024-03-22T21:50:44Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,49
2024-03-27T03:37:15Z,US,Not Available,Kindle for iOS,B08X472VK3,out_of_app,narration,not_applicable,26
2024-03-22T03:23:38Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,paginated_view,265
2024-03-25T11:00:14Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,4913
2024-03-19T21:10:04Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1371
2024-03-21T12:14:17Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,4
2024-03-21T04:51:01Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,8
2024-03-21T11:25:56Z,US,Not Available,Kindle for iOS,B0183KJZE0,inbook_mini_player,narration,vertical_scroll_view,296
2024-03-22T20:24:51Z,US,Not Available,Kindle for iOS,B0CHWQPB49,out_of_app,narration,not_applicable,64
2024-03-27T03:10:59Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,400
2024-03-19T20:38:10Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,17
2024-03-20T23:03:20Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,85
2024-03-20T23:01:10Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,107
2024-03-05T04:21:13Z,US,Not Available,Kindle for iOS,B07QNKVR3N,inbook_mini_player,narration,vertical_scroll_view,19
2024-03-20T12:57:51Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,420
2024-03-27T16:52:12Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,inbook_mini_player,narration,vertical_scroll_view,1141
2024-03-22T19:17:43Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,0
2024-03-22T19:07:11Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,7
2024-03-12T20:19:58Z,US,Not Available,Kindle for iOS,B0CL7GMPD4,inbook_mini_player,narration,vertical_scroll_view,0
2024-03-21T22:04:21Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,1833
2024-03-20T12:50:43Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,57
2024-03-19T21:08:48Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,1295
2024-03-19T21:39:09Z,US,Not Available,Kindle for iOS,B008UCJ7KO,inbook_mini_player,narration,vertical_scroll_view,1
2024-03-20T21:33:37Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1339
2024-03-27T02:35:19Z,US,Not Available,Kindle for iOS,B08X472VK3,inbook_mini_player,narration,vertical_scroll_view,208
2024-03-27T09:26:09Z,US,Not Available,Kindle for iOS,B08X472VK3,out_of_app,narration,not_applicable,81
2024-03-19T21:17:12Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1798
2024-03-19T05:07:11Z,US,Not Available,Kindle for iOS,B008673ZAQ,inbook_mini_player,narration,vertical_scroll_view,98
2024-03-22T21:06:17Z,US,Not Available,Kindle for iOS,B0CHWQPB49,out_of_app,narration,not_applicable,86
2024-03-19T05:36:00Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1702
2024-03-21T01:38:38Z,US,Not Available,Kindle for iOS,B00NEQRNVG,inbook_mini_player,narration,vertical_scroll_view,519
2024-03-20T22:57:16Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,478
2024-03-26T12:12:25Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,0
2024-03-26T12:13:27Z,US,Not Available,Kindle for iOS,B08X472VK3,inbook_mini_player,narration,vertical_scroll_view,58
2024-03-19T21:01:46Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,872
2024-03-19T13:00:27Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,27
2024-03-22T19:37:14Z,US,Not Available,,Not Available,out_of_app,narration,not_applicable,590
2024-03-22T15:23:25Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,2585
2024-03-20T23:18:07Z,US,Not Available,Kindle for iOS,B00NEQRNVG,inbook_mini_player,narration,vertical_scroll_view,1
2024-03-12T06:22:21Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,234
2024-03-22T21:05:13Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,22
2024-03-22T20:15:53Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,1532
2024-03-22T19:17:48Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,3
2024-03-22T01:05:13Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,1393
2024-03-20T21:43:43Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,121
2024-03-19T21:18:26Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1873
2024-03-27T13:33:13Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,inbook_mini_player,narration,vertical_scroll_view,17
2024-03-22T21:57:59Z,US,Not Available,Kindle for iOS,B0CHWQPB49,out_of_app,narration,not_applicable,484
2024-03-21T12:49:48Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,20
2024-03-21T05:37:06Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,2772
2024-03-22T21:01:42Z,US,Not Available,Kindle for iOS,B0CHWQPB49,out_of_app,narration,not_applicable,434
2024-03-21T14:45:28Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,191
2024-03-21T13:05:15Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,577
2024-03-27T09:29:29Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,281
2024-03-20T21:49:26Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,47
2024-03-20T12:51:02Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,11
2024-03-24T04:37:12Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,106
