title_deletion_date,collection_creation_date,title_added_date,is_title_deleted,is_collection_discoverable,last_modified_date,product_name,collection_name,collection_description,total_items_in_collection,is_public_collection,is_collection_archived,profile_name,content_delivery_type,ASIN,collection_type,marketplace,collection_id
"2024-12-03T20:35:23Z","Not Available","2024-12-03T20:25:31Z","Yes","Not Available","2024-12-03T20:35:23Z","Hawke","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0CQQ7H29X","Not Available","Not Available","PENDING"
"2024-12-03T01:34:24Z","Not Available","2024-12-03T01:24:22Z","Yes","Not Available","2024-12-03T01:34:24Z","Dude in Distress","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B08X4XBM4P","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-12-03T01:24:22Z","No","Not Available","2024-12-03T01:24:22Z","Dude in Distress","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B08X4XBM4P","Not Available","Not Available","AYCL"
"2024-12-01T05:40:11Z","Not Available","2024-12-01T05:30:16Z","Yes","Not Available","2024-12-01T05:40:11Z","Lights Out","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B0D7WG8WD1","Not Available","Not Available","PENDING"
"2024-11-04T23:28:17Z","Not Available","2024-11-04T23:18:15Z","Yes","Not Available","2024-11-04T23:28:17Z","Kill Switch","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","1541407601","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-11-04T23:18:15Z","No","Not Available","2024-11-04T23:18:15Z","Kill Switch","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","1541407601","Not Available","Not Available","AYCL"
"2024-11-03T17:36:05Z","Not Available","2024-11-03T17:26:03Z","Yes","Not Available","2024-11-03T17:36:05Z","Hideaway","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B07DCZNS2F","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-11-03T17:26:03Z","No","Not Available","2024-11-03T17:26:03Z","Hideaway","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B07DCZNS2F","Not Available","Not Available","AYCL"
"2024-11-01T21:17:02Z","Not Available","2024-11-01T21:07:01Z","Yes","Not Available","2024-11-01T21:17:02Z","Sweet Mercy","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09Z39MZ4F","Not Available","Not Available","PENDING"
"2024-11-01T21:15:58Z","Not Available","2024-11-01T21:05:57Z","Yes","Not Available","2024-11-01T21:15:58Z","Blurred Lines","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B017OBNT8W","Not Available","Not Available","PENDING"
"2024-11-01T21:14:35Z","Not Available","2024-11-01T21:04:33Z","Yes","Not Available","2024-11-01T21:14:35Z","Puck Me Secretly","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","1977319556","Not Available","Not Available","PENDING"
"2024-11-01T21:14:06Z","Not Available","2024-11-01T21:04:04Z","Yes","Not Available","2024-11-01T21:14:06Z","Pretty Little Savage","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","1705287484","Not Available","Not Available","PENDING"
"2024-11-01T21:12:40Z","Not Available","2024-11-01T21:02:38Z","Yes","Not Available","2024-11-01T21:12:40Z","Corrupt","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B01CZ0WTEM","Not Available","Not Available","PENDING"
"2024-11-01T21:10:59Z","Not Available","2024-11-01T21:00:58Z","Yes","Not Available","2024-11-01T21:10:59Z","Drop Dead","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0D6HCPSN6","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-11-01T21:07:01Z","No","Not Available","2024-11-01T21:07:01Z","Sweet Mercy","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09Z39MZ4F","Not Available","Not Available","AYCL"
