Created Timestamp,Preferred Marketplace,Country Of Residence,Device Family,ASIN,Search ID,Search Session ID,Search Result Selected Position,Search Result Section Position,Search Result Section Position Shown,Total Store Search Results Found,Search Outcome,Selected Search Result Value,Search Outcome Type,Search Action Sequence Number,Specialized Content ID
2024-03-28T02:33:36Z,US,Not Available,Kindle for iOS,Not Available,BA644FE7-B9D3-467C-9BF5-9C3356CE305B,749EEFAE-74E9-4436-A2D5-A7FF7C2243EC,5,1,Store,378,Search Again After No Action,null,Non ASIN,1,No Data
2024-04-11T06:14:22Z,US,Not Available,Kindle for iOS,Not Available,6A22E7D1-0F18-42B6-BA62-3AA04B281728,9358ED55-42D1-4B4D-B864-CBE4F1F5E91C,1,1,Store,97,Exit Search,null,Non ASIN,2,No Data
2024-03-28T12:34:01Z,US,Not Available,Kindle for iOS,Not Available,F92520E3-55E9-48A7-8DFC-5D250F4015B8,F2426F09-36FA-492E-A69C-851EA5BD77B0,1,1,Store,4,Exit Search,null,Non ASIN,2,No Data
2024-03-23T02:32:24Z,US,Not Available,Kindle for iOS,Not Available,B854E514-25F3-4D72-9BEE-8AF6D1E504A8,1B13AE8F-A027-4852-B31C-2A599A20BBA2,1,1,Store,71,Exit Search,null,Non ASIN,2,No Data
2024-03-23T02:38:00Z,US,Not Available,Kindle for iOS,Not Available,9614B555-009E-449E-9FA9-6EDE71AFFD2C,1B13AE8F-A027-4852-B31C-2A599A20BBA2,1,2,Library|Store,28,Product Detail Page Opened,B07C1XR6BK,ASIN,1,No Data
2024-02-26T00:12:23Z,US,Not Available,Kindle for iOS,Not Available,6C98BAA2-869D-4518-B581-0F48A1B4FDCC,9175B57E-B509-49E5-9AD7-0BBF3ED63535,4,1,Store,242,Clear Search Results,null,Non ASIN,1,No Data
2024-03-28T02:38:09Z,US,Not Available,Kindle for iOS,Not Available,F92520E3-55E9-48A7-8DFC-5D250F4015B8,F2426F09-36FA-492E-A69C-851EA5BD77B0,1,1,Store,4,Product Detail Page Opened,B0CYWDS6CT,ASIN,1,No Data
2024-03-22T02:44:41Z,US,Not Available,Kindle for iOS,Not Available,73720B2A-698D-440A-B861-68A11889D74A,B89A0714-12AC-40C0-930F-AF48D7156B04,1,1,Store,6,Product Detail Page Opened,B00PUSKH14,ASIN,1,No Data
2024-03-18T03:12:32Z,US,Not Available,Kindle for iOS,Not Available,FEB00C80-39ED-49A9-BD5A-7A6677C5DD2F,EB3EC288-44D6-463D-ACFD-F4A0E8AAE57E,0,0,Store,974,Exit Search,null,Non ASIN,1,No Data
2024-02-29T02:30:59Z,US,Not Available,Kindle for iOS,Not Available,5CB31E5E-D6A1-48D6-B00A-59D330100337,C99F2CF7-105F-406F-99F3-DCF0BED2C227,2,1,Store,226,Product Detail Page Opened,B08Y6DCS1Y,ASIN,1,No Data
2024-03-08T18:36:39Z,US,Not Available,Kindle for iOS,Not Available,AD6560B6-00E4-49E5-A585-80965C391255,5D408794-E00E-4D78-8CBF-9FAEB27B553C,1,1,No Section Shown,2500,Search Again After No Action,null,Non ASIN,1,No Data
2024-03-23T02:34:52Z,US,Not Available,Kindle for iOS,Not Available,4CE123F5-F7C8-4BAB-B567-770A1072CEC8,1B13AE8F-A027-4852-B31C-2A599A20BBA2,1,1,Store,2500,Product Detail Page Opened,B01MQ50PHY,ASIN,1,No Data
2024-02-25T23:59:28Z,US,Not Available,Kindle for iOS,Not Available,89226270-1245-4A68-9990-8C557316BD10,E7B22249-061D-43B7-9F98-A2805C2D3AEB,1,1,Store,8,Clear Search Results,null,Non ASIN,2,No Data
2024-02-26T00:13:12Z,US,Not Available,Kindle for iOS,Not Available,6C98BAA2-869D-4518-B581-0F48A1B4FDCC,9175B57E-B509-49E5-9AD7-0BBF3ED63535,1,1,Store,91,Exit Search,null,Non ASIN,2,No Data
2024-03-27T03:04:14Z,US,Not Available,Kindle for iOS,Not Available,A22FDE96-CC1F-498C-B419-7A132C960424,2032436F-8BA6-40E6-8C30-497863232B7C,1,1,Store,63,Exit Search,null,Non ASIN,2,No Data
2024-03-04T09:52:24Z,US,Not Available,Kindle for iOS,Not Available,6AE7ECA2-8E8A-4745-8D66-2084D59946F6,045532BB-11F1-429D-A210-2DEBF33085E5,2,1,Store,2500,Product Detail Page Opened,B0188332MI,ASIN,1,No Data
2024-03-22T03:18:37Z,US,Not Available,Kindle for iOS,Not Available,480D0CE7-29C3-4DB4-8E10-0D997459AD86,7473F4A7-E23B-4279-BEC4-EBF4EEF50158,1,1,Store,Not Included in Search Result,Exit Search,null,Non ASIN,1,No Data
